,orf,hits_count,read_count,hits_count_pro,reads_count_pro,orf_len,NI_index,HFI_normalized,label
84,YAR002W,61,994,11,123,1619,20,0.09203211859172328,
85,YAR002C-A,22,530,16,3300,659,20,0.2276176024279211,
86,YAR003W,82,30796,5,96,1280,28,0.0734375,
87,YAR007C,1,2,1,10,1865,62,0.6654155495978552,ess
88,YAR008W,10,58,2,6,827,21,0.3639661426844015,ess
89,YAR014C,41,349,7,4887,2129,31,0.18788163457022075,
90,YAR015W,8,55,0,0,920,40,0.5836956521739131,
91,YAR018C,15,266,4,58,1307,115,0.2869166029074216,
92,YAR019C,28,1792,0,0,2924,28,0.3160054719562244,ess
93,YAR019W-A,0,0,0,0,332,28,1.0,
94,YAR020C,1,6,0,0,167,17,0.5508982035928144,
95,YAR023C,11,125,2,105,539,39,0.4434137291280149,
96,YAR027W,22,368,2,20,707,24,0.24186704384724186,
97,YAR028W,23,206,6,65,704,24,0.15482954545454544,
98,YAR029W,2,36,2,53,224,17,0.6607142857142857,
99,YAR030C,10,118,7,33,341,23,0.3548387096774194,
100,YAR031W,23,347,3,51,896,28,0.3236607142857143,
101,YAR033W,4,16,3,12,704,54,0.6178977272727273,
102,YAR035W,200,3995,30,2305,2063,0,0.1095492001938924,
103,YAR035C-A,6,23,18,14335,80,0,0.45,
104,YAR042W,74,712,5,201,3566,20,0.1236679753224902,
105,YAR047C,0,0,0,0,320,5,1.0,
106,YAR050W,35,440,0,0,4613,0,0.3774116626923911,
107,YAR053W,0,0,0,0,296,0,1.0,
108,YAR060C,0,0,0,0,335,0,1.0,
109,YAR064W,3,14,0,0,299,7,0.4816053511705686,
110,YAR066W,2,8,0,0,611,7,0.4828150572831424,
111,YAR068W,1,4,0,0,485,7,0.6103092783505155,
112,YAR069C,6,174,0,0,293,7,0.4061433447098976,
113,YAR070C,0,0,0,0,299,7,1.0,
114,YAR071W,8,182,0,0,1403,7,0.5181753385602281,
115,YAR073W,1,7,0,0,1211,7,0.5953757225433526,
116,YAR075W,3,35,0,0,473,7,0.5898520084566596,
117,YBL113C,2,9,0,0,2378,29,0.6391925988225401,
118,YBL113W-A,1,1,0,0,482,29,0.9875518672199172,
119,YBL112C,0,0,0,0,317,29,1.0,
120,YBL111C,0,0,0,0,2102,13,1.0,
121,YBL109W,16,555,0,0,335,13,0.4,
122,YBL108C-A,0,0,1,7,128,0,1.0,
123,YBL108W,35,2506,0,0,305,18,0.1737704918032787,
124,YBL107W-A,0,0,0,0,104,18,1.0,
125,YBL107C,18,112,12,543,590,18,0.3322033898305085,
126,YBL106C,48,721,1,15,3032,10,0.15336411609498682,
127,YBL105C,22,133,0,0,3455,5,0.2859623733719248,
128,YBL104C,83,881,16,997,3116,156,0.0831193838254172,
129,YBL103C,24,286,0,0,1460,163,0.24315068493150685,
130,YBL102W,10,143,2,10,647,163,0.22102009273570325,
131,YBL101C,102,1503,7,84,3353,198,0.12227855651655235,
132,YBL100W-C,13,385,13,297,119,198,0.2605042016806723,
133,YBL100C,0,0,2,7,314,6,1.0,
134,YBL099W,15,97,0,0,1637,7,0.4447159437996335,
135,YBL098W,34,880,4,95,1382,15,0.10998552821997104,
136,YBL097W,22,108,0,0,2264,5,0.4836572438162544,ess
137,YBL096C,21,309,2,3,308,5,0.40584415584415584,
138,YBL095W,21,291,11,98,812,5,0.14532019704433494,
139,YBL094C,4,19,3,152,332,5,0.3343373493975904,
140,YBL093C,7,4084,2,5,662,5,0.5921450151057401,
141,YBL092W,1,2,0,0,725,5,0.7475862068965518,
142,YBL091C-A,20,316,5,146,615,5,0.1772357723577236,
143,YBL091C,25,170,7,25,1265,5,0.2324110671936759,
144,YBL090W,6,41,1,1,533,5,0.4202626641651032,
145,YBL089W,24,223,11,346,1379,5,0.19361856417693984,
146,YBL088C,150,1597,2,17,8363,5,0.08812627047710153,
147,YBL087C,5,7,2,14,917,13,0.5398037077426391,
148,YBL086C,9,212,5,36,1400,55,0.4578571428571429,
149,YBL085W,29,281,3,97,2942,15,0.1478585995921142,
150,YBL084C,12,109,0,0,2276,15,0.5250439367311072,ess
151,YBL083C,4,10,5,143,425,7,0.3011764705882353,
152,YBL082C,31,368,6,141,1376,15,0.11555232558139535,
153,YBL081W,8,39,1,2,1106,15,0.2613019891500904,
154,YBL080C,19,165,0,0,1625,4,0.2123076923076923,
155,YBL079W,40,227,3,11,4508,0,0.1095829636202307,
156,YBL078C,0,0,6,25,353,7,1.0,
157,YBL077W,15,475,11,160,431,7,0.7679814385150812,
158,YBL076C,10,38,0,0,3218,8,0.42169049098819145,ess
159,YBL075C,54,601,7,150,1949,51,0.08825038481272447,
160,YBL074C,22,257,2,14,1067,56,0.27647610121836924,
161,YBL073W,22,868,3,13,311,56,0.21221864951768488,
162,YBL072C,3,10,0,0,917,56,0.5321701199563795,
163,YBL071C-B,0,0,0,0,98,56,1.0,
164,YBL071W-A,3,19,7,187,248,56,0.3588709677419355,
165,YBL071C,11,67,9,105,308,13,0.2857142857142857,
166,YBL070C,11,1409,6,41,320,13,0.2875,
167,YBL069W,35,387,4,1039,1289,34,0.0938712179984484,
168,YBL068W-A,2,17,4,29,236,34,0.4872881355932203,
169,YBL068W,13,282,4,13,980,34,0.2591836734693877,
170,YBL067C,21,1650,1,15,2243,5,0.34551939366919304,
171,YBL066C,53,430,3,54,3446,2,0.14828786999419616,
172,YBL065W,10,102,4,62,344,2,0.28488372093023256,
173,YBL064C,24,373,4,168,785,1,0.17070063694267515,
174,YBL063W,62,989,6,203,3335,0,0.09145427286356822,
175,YBL062W,9,119,6,107,380,14,0.2921052631578948,
176,YBL061C,34,274,2,37,2090,27,0.18660287081339716,
177,YBL060W,44,404,12,292,2063,9,0.11536597188560348,
178,YBL059C-A,1,7,3,16,414,9,0.6884057971014492,
179,YBL059W,10,106,1,5,650,9,0.7184615384615385,
180,YBL058W,21,124,1,9,1271,39,0.2163650668764752,
181,YBL057C,20,291,9,439,626,41,0.25559105431309903,
182,YBL056W,31,346,1,2,1406,0,0.18705547652916074,
183,YBL055C,34,456,10,467,1256,65,0.20222929936305734,
184,YBL054W,35,459,2,62,1577,15,0.13189600507292326,
185,YBL053W,5,101,6,36,374,15,0.5026737967914439,
186,YBL052C,19,292,2,15,2495,15,0.20440881763527052,
187,YBL051C,23,166,0,0,2006,28,0.2058823529411765,
188,YBL050W,6,26,0,0,994,24,0.613682092555332,ess
189,YBL049W,7,75,1,5,416,45,0.31971153846153844,
190,YBL048W,3,15,1,3,311,3,0.4501607717041801,
