,orf,hits_count,read_count,hits_count_pro,reads_count_pro,orf_len,NI_index,HFI_normalized,label
1761,YER065C,92,1785,3,12,1673,73,0.0621637776449492,
1762,YER066W,19,144,0,0,557,44,0.2423698384201077,
1763,YER066C-A,19,201,6,56,500,21,0.204,
1764,YER067W,13,110,1,19,485,5,0.1855670103092784,
1765,YER067C-A,7,72,3,39,323,5,0.28792569659442724,
1766,YER068W,32,566,0,0,1763,75,0.3244469653998865,
1767,YER068C-A,34,531,2,27,431,2,0.2111368909512761,
1768,YER069W,87,1094,16,398,2591,16,0.08954071786954844,
1769,YER070W,14,92,0,0,2666,33,0.39797449362340587,
1770,YER071C,3,156,3,17,380,90,0.7184210526315791,
1771,YER072W,13,144,11,436,389,105,0.2236503856041131,
1772,YER073W,31,426,6,47,1562,35,0.16965428937259924,
1773,YER074W,1,1,0,0,873,7,0.9335624284077892,
1774,YER074W-A,0,0,0,0,470,7,1.0,ess
1775,YER075C,29,152,2,2,2786,25,0.20459440057430006,
1776,YER076C,13,172,2,77,908,26,0.25,
1777,YER076W-A,5,117,0,0,347,26,0.484149855907781,
1778,YER077C,23,127,1,25,2066,12,0.2255566311713456,
1779,YER078C,55,980,2,44,1535,4,0.08208469055374593,
1780,YER078W-A,26,657,5,89,164,6,0.12195121951219512,
1781,YER079W,8,109,3,33,632,6,0.4509493670886076,
1782,YER079C-A,7,56,3,41,338,0,0.2840236686390533,
1783,YER080W,39,314,9,283,1883,9,0.13807753584705254,
1784,YER081W,76,968,1,11,1409,16,0.14123491838183108,
1785,YER082C,5,19,1,11,1664,78,0.9284855769230768,ess
1786,YER083C,12,105,11,127,857,78,0.1866977829638273,
1787,YER084W,28,288,1,6,386,4,0.3160621761658031,
1788,YER084W-A,8,77,0,0,512,21,0.4140625,
1789,YER085C,8,77,2,7,521,21,0.4644913627639156,
1790,YER086W,8,35,0,0,1730,6,0.44624277456647404,
1791,YER087W,22,116,4,158,1730,1,0.3294797687861272,
1792,YER087C-A,7,75,6,82,551,5,0.7404718693284936,
1793,YER087C-B,2,5,7,87,248,22,0.6975806451612904,
1794,YER088C,85,2640,11,445,2012,22,0.09244532803180916,
1795,YER088C-A,97,18624,7,39,323,22,0.10526315789473684,
1796,YER088W-B,21,370,43,2551,146,22,0.2534246575342466,
1797,YER089C,81,1817,4,206,1394,22,0.06384505021520802,
1798,YER090W,19,133,1,12,1523,0,0.195666447800394,
1799,YER090C-A,0,0,1,10,89,0,1.0,
1800,YER091C,28,227,1,3,2303,24,0.13677811550151975,
1801,YER091C-A,34,1214,9,116,221,24,0.16289592760180996,
1802,YER092W,19,231,7,83,377,24,0.2360742705570292,
1803,YER093C,35,307,0,0,4292,59,0.32362534948741845,
1804,YER093C-A,11,66,8,76,488,9,0.3790983606557377,
1805,YER094C,5,28,0,0,617,3,0.7649918962722853,ess
1806,YER095W,8,54,1,4,1202,1,0.3410981697171381,
1807,YER096W,19,205,0,0,1538,25,0.14174252275682706,
1808,YER097W,14,426,13,925,329,21,0.2644376899696049,
1809,YER098W,38,323,5,81,2264,6,0.19081272084805653,
1810,YER099C,19,245,3,19,956,11,0.35460251046025104,
1811,YER100W,7,46,0,0,752,11,0.4308510638297872,
1812,YER101C,31,402,6,104,1292,11,0.14086687306501547,
1813,YER102W,2,6,0,0,969,2,0.7595459236326111,
1814,YER103W,27,159,0,0,1928,9,0.24636929460580914,
1815,YER104W,8,39,2,12,626,9,0.3498402555910543,
1816,YER105C,53,493,2,4,4175,92,0.21508982035928145,
1817,YER106W,12,152,3,14,908,19,0.3436123348017621,
1818,YER107C,3,5,2,4,1097,19,0.7620783956244302,
1819,YER107W-A,4,8,0,0,320,19,0.396875,
1820,YER109C,25,130,3,150,2399,42,0.21258857857440602,
1821,YER110C,23,109,3,10,3341,34,0.3349296617779108,
1822,YER111C,40,244,0,0,3281,9,0.19353855531850045,
1823,YER112W,0,0,0,0,563,4,1.0,ess
1824,YER113C,32,375,6,34,2120,48,0.17641509433962266,
1825,YER114C,48,396,1,1,3122,1,0.1313260730301089,
1826,YER115C,9,62,1,18,575,20,0.3008695652173913,
1827,YER116C,9,57,0,0,824,20,0.3786407766990291,
1828,YER117W,0,0,0,0,884,20,1.0,
1829,YER118C,18,66,3,15,1103,20,0.2275611967361741,
1830,YER119C,59,680,10,696,1346,32,0.09361069836552748,
1831,YER119C-A,22,817,1,23,371,32,0.33423180592991913,
1832,YER120W,15,156,3,4,734,32,0.276566757493188,
1833,YER121W,20,915,7,140,344,2,0.18604651162790695,
1834,YER122C,6,96,0,0,1481,0,0.6549628629304524,
1835,YER123W,40,1331,4,51,1574,13,0.2153748411689962,
1836,YER124C,19,226,2,27,1721,45,0.17199302730970367,
1837,YER125W,17,116,0,0,2429,19,0.2824207492795389,
1838,YER126C,6,25,0,0,785,129,0.4509554140127389,ess
1839,YER127W,1,3,0,0,1073,69,0.9953401677539608,ess
1840,YER128W,23,437,8,39,611,69,0.2225859247135843,
1841,YER129W,88,2080,0,0,3428,2,0.0822637106184364,
1842,YER130C,41,1015,1,1,1331,61,0.16453794139744554,
1843,YER131W,1,8,6,79,720,0,0.6069444444444444,
1844,YER132C,95,962,1,45,5261,68,0.1064436418931762,
1845,YER133W,2,4,0,0,1463,44,0.7826384142173616,
1846,YER133W-A,2,16,0,0,341,44,0.7067448680351907,
1847,YER134C,19,185,4,67,536,44,0.3078358208955224,
1848,YER135C,16,330,1,4,392,44,0.21683673469387754,
1849,YER136W,6,44,0,0,1355,4,0.7896678966789668,ess
1850,YER137C,7,85,7,514,446,20,0.3878923766816144,
1851,YER137W-A,6,71,2,15,305,20,0.3934426229508197,
1852,YER138W-A,0,0,0,0,104,19,1.0,
1853,YER139C,11,257,0,0,680,32,0.36764705882352944,
1854,YER140W,44,372,5,140,1670,4,0.1568862275449102,
1855,YER141W,10,29,1,4,1460,4,0.4623287671232877,
1856,YER142C,14,190,2,20,890,0,0.17303370786516853,
1857,YER143W,26,1523,2,4,1286,15,0.1181959564541213,
1858,YER144C,63,971,15,448,2417,32,0.1005378568473314,
1859,YER145C,102,1714,8,82,1214,32,0.051070840197693576,
1860,YER145C-A,3,13,5,182,437,20,0.35697940503432496,
1861,YER146W,4,11,2,8,281,20,0.4697508896797153,ess
1862,YER147C,26,220,5,28,1874,0,0.28014941302027746,
1863,YER147C-A,8,62,0,0,410,17,0.37317073170731707,
1864,YER148W,8,62,0,0,722,17,0.6620498614958449,ess
1865,YER148W-A,11,185,0,0,578,7,0.3304498269896194,
1866,YER149C,24,306,6,81,1262,7,0.2377179080824089,
1867,YER150W,3,10,3,36,446,7,0.5448430493273543,
1868,YER151C,25,128,1,1,2738,7,0.2892622352081812,
1869,YER152C,40,508,1,37,1331,36,0.12997746055597295,
1870,YER152W-A,10,133,4,115,566,36,0.31448763250883394,
1871,YER153C,11,142,7,24,764,28,0.4044502617801048,
1872,YER154W,21,92,8,110,1208,28,0.12665562913907286,
1873,YER155C,59,1083,8,55,6503,32,0.08857450407504229,
1874,YER156C,24,148,14,361,1016,32,0.23228346456692914,
1875,YER157W,31,282,0,0,2405,32,0.33097713097713105,
1876,YER158C,25,174,2,9,1721,18,0.4915746658919233,
1877,YER158W-A,5,66,23,984,215,18,0.5720930232558139,
1878,YER159C,6,56,3,13,428,18,0.3224299065420561,ess
1879,YER161C,12,98,3,76,1001,8,0.3096903096903097,
1880,YER162C,16,104,14,698,2264,5,0.4050353356890459,
1881,YER163C,31,281,2,165,698,5,0.18481375358166188,
1882,YER164W,43,357,0,0,4406,47,0.1259645937358148,
1883,YER165W,2,49,0,0,1733,7,0.7864974033467974,
1884,YER165C-A,5,150,2,3,356,5,0.4578651685393258,
1885,YER166W,96,1163,0,0,4715,11,0.13552492046659598,
1886,YER167W,65,1235,2,24,2555,4,0.08923679060665363,
1887,YER168C,12,92,0,0,1640,4,0.2615853658536585,ess
1888,YER169W,47,291,5,33,2390,4,0.10794979079497907,
1889,YER170W,14,303,13,73,677,3,0.3116691285081241,
1890,YER171W,17,110,0,0,2336,21,0.2769691780821918,ess
1891,YER172C,26,108,1,2,6491,41,0.3124325989832075,ess
1892,YER172C-A,6,62,5,138,380,37,0.3157894736842105,
1893,YER173W,34,368,1,2,1979,17,0.2081859525012633,
1894,YER174C,19,370,4,37,734,20,0.1784741144414169,
1895,YER175C,47,1071,11,99,899,5,0.07897664071190211,
1896,YER175W-A,4,38,3,98,164,8,0.5609756097560976,
1897,YER176W,175,5426,10,312,3365,31,0.1411589895988113,
1898,YER177W,11,65,1,1,803,44,0.42092154420921546,
1899,YER178W,46,844,9,80,1262,44,0.12519809825673536,
1900,YER179W,23,119,2,22,1096,51,0.19616788321167886,
1901,YER180C,7,76,3,31,803,12,0.4931506849315068,
1902,YER180C-A,8,72,10,222,257,63,0.311284046692607,
1903,YER181C,6,50,0,0,323,78,0.4736842105263158,
1904,YER182W,8,139,3,117,734,42,0.3583106267029973,
1905,YER183C,22,440,5,65,635,54,0.2110236220472441,
1906,YER184C,38,416,2,25,2384,14,0.12919463087248326,
1907,YER185W,25,248,2,29,911,11,0.2623490669593853,
1908,YER186C,22,193,9,133,920,15,0.2608695652173913,
1909,YER187W,13,283,7,25,425,0,0.2235294117647059,
1910,YER188W,1,6,0,0,719,0,0.5897079276773296,
1911,YER188C-A,10,313,0,0,299,0,0.24414715719063546,
1912,YER189W,0,0,0,0,368,0,1.0,
1913,YER190W,0,0,0,0,5045,0,1.0,
1914,YER190C-A,0,0,0,0,575,0,1.0,
1915,YER190C-B,0,0,0,0,482,0,1.0,
1916,YFL068W,0,0,0,0,482,0,1.0,
1917,YFL067W,0,0,0,0,527,7,1.0,
1918,YFL066C,0,0,0,0,1178,10,1.0,
1919,YFL065C,0,0,0,0,308,10,1.0,
1920,YFL064C,0,0,0,0,524,10,1.0,
1921,YFL063W,23,2701,1,2,455,1,0.17142857142857146,
1922,YFL062W,5,71,1,1,1139,48,0.40561896400351183,
1923,YFL061W,4,159,0,0,677,23,0.4549483013293944,
1924,YFL060C,11,225,1,3,668,24,0.4416167664670659,
1925,YFL059W,1,1,2,63,896,24,0.6316964285714286,
1926,YFL058W,6,127,0,0,1022,42,0.4217221135029354,
1927,YFL057C,2,21,0,0,458,42,0.6615720524017468,
1928,YFL056C,9,41,1,1,638,0,0.4012539184952978,
1929,YFL055W,43,658,2,35,1676,104,0.16288782816229114,
1930,YFL054C,53,812,3,30,1940,110,0.12938144329896908,
1931,YFL053W,36,540,1,4,1775,128,0.11887323943661972,
1932,YFL052W,40,569,4,30,1397,9,0.17108088761632068,
1933,YFL051C,22,216,4,33,482,28,0.15352697095435686,
1934,YFL050C,44,391,0,0,2576,5,0.14518633540372672,
1935,YFL049W,23,310,7,293,1871,35,0.4543025120256548,
1936,YFL048C,20,247,10,207,1337,11,0.2034405385190725,
1937,YFL047W,43,381,9,560,2144,3,0.09001865671641791,
1938,YFL046W,29,198,5,68,623,16,0.18619582664526485,
1939,YFL045C,0,0,0,0,764,16,1.0,ess
1940,YFL044C,16,263,2,33,905,48,0.2972375690607735,
1941,YFL042C,46,476,7,68,2024,0,0.1309288537549407,
1942,YFL041W-A,4,16,5,59,191,52,0.5445026178010471,
1943,YFL041W,27,252,6,280,1868,52,0.215203426124197,
1944,YFL040W,45,583,0,0,1622,8,0.13625154130702835,
1945,YFL039C,5,19,2,2,1436,12,0.504874651810585,ess
1946,YFL038C,9,44,0,0,620,27,0.2290322580645161,ess
1947,YFL037W,19,91,2,7,1373,27,0.2818645302257829,ess
1948,YFL036W,22,135,2,12,4055,14,0.17361282367447595,
1949,YFL034C-B,5,25,3,20,977,14,0.6141248720573184,ess
1950,YFL034C-A,24,253,4,14,689,39,0.16981132075471694,
1951,YFL034W,52,597,2,43,3221,3,0.1229431853461658,
1952,YFL033C,145,2977,6,145,5312,11,0.0651355421686747,
1953,YFL032W,6,140,0,0,320,11,0.43125,
1954,YFL031W,3,13,1,9,968,11,0.4018595041322314,
1955,YFL031C-A,0,0,1,1,101,11,1.0,
1956,YFL030W,54,875,0,0,1157,17,0.12445980985306827,
1957,YFL029C,5,9,0,0,1106,17,0.3996383363471971,
1958,YFL028C,27,228,7,286,869,17,0.18642117376294592,
1959,YFL027C,21,106,0,0,1493,13,0.28466175485599465,
1960,YFL026W,22,289,0,0,1295,2,0.15752895752895754,
1961,YFL025C,11,29,0,0,3089,60,0.606668824862415,
1962,YFL024C,33,212,0,0,2498,4,0.20416333066453166,ess
1963,YFL023W,27,271,3,7,2390,12,0.14225941422594146,
1964,YFL022C,18,89,0,0,1511,5,0.2984778292521509,ess
1965,YFL021C-A,114,2508,2,35,854,11,0.08548009367681499,
1966,YFL021W,77,849,22,796,1532,18,0.22911227154047,
1967,YFL020C,4,199,0,0,368,9,0.6684782608695652,
1968,YFL019C,1,1,0,0,353,2,0.7847025495750708,
1969,YFL018C,12,87,5,26,1499,22,0.4943295530353569,
1970,YFL017W-A,1,1,1,6,233,22,0.9570815450643776,ess
1971,YFL017C,6,28,2,4,479,17,0.3778705636743215,ess
1972,YFL016C,25,174,1,1,1535,7,0.5120521172638437,
1973,YFL015W-A,22,216,11,666,317,7,0.2523659305993691,
1974,YFL015C,63,1762,9,159,494,7,0.16194331983805668,
1975,YFL014W,17,247,2,2,329,7,0.3738601823708207,
1976,YFL013W-A,44,806,7,261,803,1,0.16936488169364886,
1977,YFL013C,46,638,6,45,2078,21,0.22040423484119345,
1978,YFL012W-A,30,632,1,18,374,21,0.22994652406417115,
1979,YFL012W,10,96,0,0,446,21,0.27802690582959644,
1980,YFL011W,12,42,0,0,1640,35,0.3426829268292683,
1981,YFL010W-A,3,33,1,8,284,35,0.5387323943661971,
1982,YFL010C,11,371,5,4946,635,35,0.25354330708661416,
1983,YFL009W,12,41,0,0,2339,35,0.21376656690893545,
1984,YFL008W,10,37,0,0,3677,9,0.4528147946695676,
1985,YFL007W,107,741,0,0,6431,55,0.050069973565541916,
1986,YFL005W,3,18,0,0,647,55,0.5579598145285936,ess
1987,YFL004W,35,214,5,69,2486,105,0.1508447304907482,
1988,YFL003C,121,2727,3,25,2636,4,0.06525037936267071,
1989,YFL002C,1,1,1,7,1820,17,0.8769230769230769,ess
1990,YFL001W,30,236,3,26,1328,40,0.15286144578313254,
1991,YFR001W,2,25,0,0,614,91,0.5618892508143323,
1992,YFR002W,24,130,0,0,2519,24,0.35490273918221515,ess
1993,YFR003C,6,21,0,0,467,24,0.404710920770878,ess
1994,YFR004W,1,2,2,27,920,24,0.7706521739130435,ess
1995,YFR005C,4,24,0,0,1346,16,0.6812778603268945,ess
1996,YFR006W,61,769,9,172,1607,24,0.0927193528313628,
1997,YFR007W,37,825,6,58,1061,20,0.14326107445805844,
1998,YFR008W,8,195,0,0,665,20,0.4150375939849624,
1999,YFR009W,38,700,1,2,2258,25,0.12843224092116914,
2000,YFR009W-A,1,1,3,80,257,21,0.9377431906614786,
2001,YFR010W,43,605,3,25,1499,16,0.15543695797198132,
2002,YFR010W-A,5,49,5,58,188,52,0.5904255319148937,
2003,YFR011C,9,75,11,458,512,70,0.2890625,
2004,YFR012W,16,127,2,9,608,70,0.2286184210526316,
2005,YFR012W-A,2,20,5,20,86,70,0.7558139534883721,
2006,YFR013W,41,330,1,12,2363,84,0.14007617435463393,
2007,YFR014C,35,464,2,59,1340,75,0.16492537313432834,
2008,YFR015C,66,1204,9,194,2126,31,0.08607714016933207,
2009,YFR016C,85,845,1,1,3701,31,0.2164279924344772,
2010,YFR017C,70,1545,12,114,587,31,0.1959114139693356,
2011,YFR018C,142,5393,4,35,1091,30,0.08065994500458296,
2012,YFR019W,63,592,8,358,6836,44,0.1417495611468695,
2013,YFR020W,10,45,0,0,698,0,0.2492836676217765,
2014,YFR021W,38,272,0,0,1502,0,0.11384820239680428,
2015,YFR022W,57,741,1,7,2201,2,0.07860063607451158,
2016,YFR023W,22,486,1,12,1835,137,0.2223433242506812,
2017,YFR024C-A,32,269,14,857,1473,58,0.15478615071283094,
2018,YFR025C,52,1313,6,224,1007,58,0.12413108242303872,
2019,YFR026C,15,372,1,3,509,58,0.2691552062868369,
2020,YFR027W,5,16,1,3,845,1,0.28875739644970416,ess
2021,YFR028C,5,18,0,0,1655,1,0.6187311178247734,
2022,YFR029W,111,3122,21,1147,2036,0,0.06777996070726916,
2023,YFR030W,34,476,7,92,3107,4,0.13324750563244284,
2024,YFR031C,18,102,4,36,3512,6,0.17682232346241458,ess
2025,YFR031C-A,3,11,2,17,911,6,0.8441273326015367,
2026,YFR032C,13,80,9,798,869,11,0.19677790563866512,
2027,YFR032C-A,2,30,2,6,513,10,0.4678362573099415,
2028,YFR032C-B,10,75,1,1,263,11,0.5627376425855514,
2029,YFR033C,44,810,14,676,443,12,0.19413092550790068,
2030,YFR034C,133,7524,8,83,938,12,0.09381663113006396,
2031,YFR034W-A,53,7787,5,49,287,12,0.1289198606271777,
2032,YFR035C,60,8328,20,291,344,12,0.10755813953488373,
2033,YFR036W,13,107,6,98,374,13,0.3315508021390374,
2034,YFR036W-A,8,31,12,310,650,13,0.25384615384615383,
2035,YFR037C,8,35,0,0,1673,3,0.6419605499103407,ess
2036,YFR038W,37,476,6,135,2561,10,0.17883639203436158,
2037,YFR039C,15,111,0,0,1532,1,0.2761096605744125,
2038,YFR040W,31,160,1,5,3008,62,0.28125,
2039,YFR041C,35,1320,1,9,887,10,0.2705749718151071,
2040,YFR042W,0,0,0,0,602,6,1.0,ess
2041,YFR043C,12,205,6,63,713,6,0.39691444600280507,
2042,YFR044C,19,153,5,71,1445,9,0.1439446366782007,
2043,YFR045W,15,135,2,7,1001,42,0.2867132867132867,
2044,YFR046C,20,193,4,46,1085,4,0.14285714285714285,
2045,YFR047C,19,330,8,166,887,4,0.3134160090191657,
2046,YFR048W,72,1559,10,250,1988,143,0.1011066398390342,
2047,YFR049W,11,124,2,40,371,143,0.32345013477088946,
2048,YFR050C,15,67,1,2,800,8,0.3775,ess
2049,YFR051C,35,177,5,363,1640,23,0.22317073170731708,
2050,YFR052W,4,15,2,17,824,46,0.6201456310679612,ess
2051,YFR052C-A,17,113,3,35,305,51,0.1377049180327869,
2052,YFR053C,64,971,3,49,1457,60,0.11667810569663692,
2053,YFR054C,10,110,3,11,578,17,0.2681660899653979,
2054,YFR056C,2,8,2,10,368,5,0.7663043478260869,
2055,YFR055W,15,102,0,0,1022,5,0.2025440313111546,
2056,YFR057W,0,0,0,0,455,5,1.0,
2057,YGL263W,62,1787,14,299,1142,20,0.07793345008756568,
2058,YGL262W,19,229,1,1,527,46,0.25996204933586337,
2059,YGL261C,4,98,0,0,362,16,0.6215469613259669,
2060,YGL260W,1,2,1,7,230,23,0.8391304347826087,
2061,YGL259W,7,209,6,88,497,88,0.4949698189134809,
2062,YGL258W-A,3,33,0,0,233,92,0.5407725321888412,
2063,YGL258W,4,54,1,21,620,162,0.6580645161290323,
2064,YGL257C,32,395,0,0,1676,92,0.14916467780429593,
2065,YGL256W,19,247,0,0,1148,8,0.4590592334494774,
2066,YGL255W,32,419,0,0,1130,16,0.16283185840707964,
2067,YGL254W,39,518,9,342,899,7,0.1167964404894327,
2068,YGL253W,34,337,5,74,1460,15,0.3013698630136986,
2069,YGL252C,33,598,12,522,1766,2,0.12853907134767836,
2070,YGL251C,61,879,6,56,3715,17,0.11117092866756394,
2071,YGL250W,3,28,2,42,725,17,0.6096551724137931,
2072,YGL249W,62,841,0,0,2114,2,0.11447492904446545,
2073,YGL248W,18,225,2,56,1109,37,0.20559062218214608,
2074,YGL247W,8,22,0,0,593,37,0.7993254637436762,ess
2075,YGL246C,10,61,1,8,1163,25,0.2321582115219261,
2076,YGL245W,20,96,0,0,2126,4,0.27328316086547505,ess
2077,YGL244W,11,68,0,0,1676,17,0.2583532219570406,
2078,YGL243W,14,220,6,109,1202,26,0.3860232945091514,
2079,YGL242C,16,102,7,52,545,26,0.2055045871559633,
2080,YGL241W,33,383,22,2457,3014,22,0.12840079628400794,
2081,YGL240W,3,6,4,55,752,4,0.5797872340425532,
2082,YGL239C,2,10,3,48,314,4,0.7611464968152867,
2083,YGL238W,26,229,1,2,2882,2,0.2765440666204025,ess
2084,YGL237C,16,62,1,1,797,0,0.32496863237139273,
2085,YGL236C,72,907,6,117,2009,2,0.11050273768043804,
2086,YGL235W,26,410,3,6,536,2,0.22014925373134328,
2087,YGL234W,22,80,0,0,2408,12,0.4676079734219269,
2088,YGL233W,10,99,0,0,2732,20,0.3645680819912152,ess
2089,YGL232W,17,204,2,29,927,1,0.3549083063646171,
2090,YGL231C,8,109,2,7,572,9,0.3146853146853147,
2091,YGL230C,0,0,0,0,443,30,1.0,
2092,YGL229C,40,492,1,6,2456,176,0.2479641693811075,
2093,YGL228W,23,318,4,60,1733,50,0.2804385458742066,
2094,YGL227W,46,292,1,4,2876,10,0.0890125173852573,
2095,YGL226C-A,1,20,5,115,409,2,0.9682151589242054,
2096,YGL226W,10,85,4,26,371,2,0.2668463611859838,
2097,YGL225W,15,159,7,112,1013,10,0.30009871668311944,ess
2098,YGL224C,14,173,5,66,842,10,0.3016627078384798,
2099,YGL223C,20,158,1,11,1253,9,0.4142059058260176,
2100,YGL222C,4,16,3,36,527,9,0.459203036053131,
2101,YGL221C,10,95,12,681,866,2,0.4584295612009238,
2102,YGL220W,10,43,10,678,362,11,0.43922651933701656,
2103,YGL219C,15,160,0,0,1379,20,0.34155184916606235,
2104,YGL218W,9,56,1,3,650,20,0.20615384615384616,
2105,YGL217C,8,35,7,64,341,31,0.3343108504398827,
2106,YGL216W,77,757,2,6,2417,28,0.09888291270169633,
2107,YGL215W,9,396,0,0,1358,12,0.3468335787923417,
2108,YGL214W,4,15,2,38,485,12,0.7484536082474227,
2109,YGL213C,6,36,0,0,1193,12,0.3210393964794636,
2110,YGL212W,4,101,2,19,950,9,0.8063157894736842,
2111,YGL211W,7,24,7,346,1079,9,0.5495829471733086,
2112,YGL210W,13,87,2,7,668,9,0.20359281437125748,
2113,YGL209W,29,408,0,0,1148,9,0.21428571428571427,
2114,YGL208W,68,756,13,741,1247,12,0.09061748195669607,
2115,YGL207W,31,167,0,0,3107,0,0.26778242677824265,ess
2116,YGL206C,51,293,3,11,4961,80,0.15642007659746018,
2117,YGL205W,47,638,4,62,2246,8,0.1589492430988424,
2118,YGL204C,3,4,0,0,305,20,0.6295081967213115,
2119,YGL203C,35,227,1,33,2189,8,0.12654179990863407,
2120,YGL202W,47,619,3,96,1502,8,0.1378162450066578,
2121,YGL201C,47,184,0,0,3053,20,0.20045856534556172,ess
2122,YGL200C,5,24,1,6,611,7,0.28150572831423903,
2123,YGL199C,7,59,0,0,470,7,0.5425531914893617,
2124,YGL198W,7,59,4,97,707,7,0.3734087694483734,
2125,YGL197W,15,72,0,0,4463,7,0.5978041676002689,
2126,YGL196W,22,300,0,0,1286,25,0.45800933125972,
2127,YGL195W,88,547,0,0,8018,0,0.09840359191818407,
2128,YGL194C-A,3,7,2,57,242,10,0.7024793388429752,
2129,YGL194C,17,48,4,36,1358,37,0.24374079528718706,
2130,YGL193C,15,194,4,38,311,37,0.2540192926045016,
2131,YGL192W,38,380,1,20,1802,40,0.16426193118756938,
2132,YGL191W,23,582,9,196,389,27,0.19794344473007716,
2133,YGL190C,24,128,1,1,1580,50,0.24620253164556966,
2134,YGL189C,8,42,0,0,737,24,0.4993215739484396,
2135,YGL188C-A,3,11,0,0,140,24,0.3428571428571429,
2136,YGL188C,11,554,8,53,173,37,0.24277456647398846,
2137,YGL187C,22,176,2,12,821,60,0.4981729598051157,
2138,YGL186C,19,157,3,16,1739,1,0.4508338125359402,
2139,YGL185C,29,368,3,27,1139,19,0.22388059701492535,
2140,YGL184C,52,587,5,43,1397,102,0.13385826771653545,
2141,YGL183C,12,255,4,24,742,263,0.30997304582210244,
2142,YGL182C,9,46,10,194,323,263,0.2786377708978328,
2143,YGL181W,14,158,2,2,1190,263,0.2109243697478992,
2144,YGL180W,42,685,2,41,2693,6,0.2116598588934274,
2145,YGL179C,23,297,1,26,1682,2,0.18608799048751487,
2146,YGL178W,109,3673,1,5,3219,3,0.1724137931034483,
2147,YGL177W,37,2546,16,186,347,4,0.138328530259366,
2148,YGL176C,17,199,3,53,1664,9,0.3305288461538461,
2149,YGL175C,14,97,1,56,1037,2,0.19575699132111865,
2150,YGL174W,9,31,0,0,800,2,0.36625,
2151,YGL173C,30,126,0,0,4586,5,0.2610117749672918,
2152,YGL172W,4,33,0,0,1418,0,0.6071932299012694,ess
2153,YGL171W,9,27,1,3,1694,23,0.4757969303423849,
2154,YGL170C,11,236,3,55,1241,23,0.28364222401289285,
2155,YGL169W,13,77,0,0,1280,120,0.49765625,
2156,YGL168W,12,87,5,19,332,187,0.3192771084337349,
2157,YGL167C,25,107,1,2,2852,24,0.19600280504908835,
2158,YGL166W,31,184,14,626,677,24,0.19054652880354506,
2159,YGL165C,58,1835,0,0,578,24,0.15570934256055366,
2160,YGL164C,17,235,1,45,1322,21,0.31089258698941,
2161,YGL163C,38,175,2,5,2696,103,0.11980712166172107,
2162,YGL162W,21,188,8,168,899,19,0.2547274749721913,
2163,YGL161C,33,411,3,30,932,0,0.14914163090128754,
2164,YGL160W,40,278,0,0,1712,23,0.2424065420560748,
2165,YGL159W,6,36,7,95,1112,1,0.29406474820143885,
2166,YGL158W,47,640,4,86,1538,6,0.17035110533159947,
2167,YGL157W,26,756,3,19,1043,6,0.25407478427612656,
2168,YGL156W,67,666,2,16,3251,2,0.1113503537373116,
2169,YGL155W,17,84,0,0,1130,2,0.2513274336283186,ess
2170,YGL154C,8,215,7,31,818,19,0.4278728606356968,
2171,YGL153W,14,106,5,36,1025,35,0.4058536585365854,
2172,YGL152C,24,1677,5,41,677,35,0.16691285081240767,
2173,YGL151W,24,146,3,25,3398,33,0.2527957622130665,
2174,YGL150C,20,138,0,0,4469,14,0.2723204296263146,
2175,YGL149W,11,62,0,0,305,14,0.4819672131147541,
2176,YGL148W,10,83,0,0,1130,10,0.26814159292035394,
2177,YGL147C,9,56,0,0,575,3,0.28347826086956524,
2178,YGL146C,27,426,2,24,935,4,0.17754010695187167,
2179,YGL145W,17,141,0,0,2105,5,0.2180522565320665,
2180,YGL144C,30,484,8,71,2057,5,0.15216334467671366,
2181,YGL143C,14,56,6,111,1241,38,0.2425463336019339,
2182,YGL142C,8,58,0,0,1850,38,0.7297297297297297,ess
2183,YGL141W,46,301,2,5,2732,7,0.10029282576866763,
2184,YGL140C,28,524,5,16,3659,34,0.33506422519814155,
2185,YGL139W,41,385,5,50,2408,30,0.196843853820598,
2186,YGL138C,18,128,2,31,1037,30,0.3915139826422373,
2187,YGL137W,20,84,0,0,2869,1,0.4248867201115371,ess
2188,YGL136C,32,481,11,135,962,1,0.3575883575883576,
2189,YGL135W,1,14,0,0,653,1,0.990811638591118,
2190,YGL134W,36,444,6,90,1301,5,0.16756341275941586,
2191,YGL133W,56,458,1,4,3794,9,0.3629414865577227,
2192,YGL132W,3,20,1,8,335,9,0.7582089552238805,
2193,YGL131C,42,876,0,0,4211,9,0.12942293991925907,
2194,YGL130W,2,9,0,0,1379,32,0.8905003625815808,ess
2195,YGL129C,4,10,3,39,1352,30,0.4489644970414201,
2196,YGL128C,2,12,0,0,851,30,0.9847238542890716,ess
2197,YGL127C,13,53,0,0,383,20,0.3133159268929504,
2198,YGL126W,225,18182,7,107,1142,41,0.042907180385288964,
2199,YGL125W,125,3469,3,10,1802,11,0.06048834628190899,
2200,YGL124C,22,1507,5,30,1934,33,0.2533609100310238,
2201,YGL123W,1,2,0,0,764,79,0.9908376963350786,ess
2202,YGL123C-A,0,0,0,0,230,69,1.0,
2203,YGL122C,8,96,2,4,1577,14,0.4413443246670894,
2204,YGL121C,16,7147,11,142,380,14,0.15263157894736842,
