orf,label_FY,predictions_CCD,predictions_CPG,predictions_CNT,predictions_Sigma,predictions_CHM
YER171W,ess,,ess,ess,ess,ess
YER172C,ess,ess,ess,ess,ess,ess
YFL045C,ess,ess,ess,ess,ess,ess
YFL037W,ess,,,,,
YFL008W,ess,ess,ess,ess,ess,ess
YFL002C,ess,ess,ess,ess,ess,ess
YFR004W,ess,,ess,ess,ess,ess
YFR027W,ess,,,ess,,ess
YFR028C,ess,ess,ess,ess,ess,ess
YGL238W,ess,,ess,,,ess
YGL233W,ess,ess,ess,ess,ess,ess
YGL207W,ess,,ess,,,
YGL172W,ess,ess,ess,ess,ess,
YGL171W,ess,,ess,,,
YGL169W,ess,,ess,ess,,ess
YGL142C,ess,ess,ess,ess,ess,ess
YGL137W,ess,,ess,,ess,ess
YGL130W,ess,ess,ess,ess,ess,ess
YGL128C,ess,,,ess,,
YGL123W,ess,ess,ess,ess,ess,ess
YGL122C,ess,,ess,,,
YGL113W,ess,,ess,ess,ess,ess
YGL111W,ess,,ess,ess,ess,ess
YGL103W,ess,ess,ess,ess,ess,ess
YGL099W,ess,ess,ess,ess,ess,ess
YGL092W,ess,ess,ess,ess,ess,ess
YGL091C,ess,ess,ess,ess,,ess
YGL075C,ess,,ess,ess,ess,ess
YGL065C,ess,,ess,ess,ess,
YGL048C,ess,ess,ess,ess,ess,ess
YGL047W,ess,ess,ess,ess,ess,
YGL044C,ess,ess,ess,ess,ess,ess
YGL040C,ess,ess,,ess,ess,ess
YGL011C,ess,,ess,ess,ess,ess
YGL008C,ess,,ess,ess,ess,ess
YGR005C,ess,,ess,ess,ess,ess
YGR009C,ess,ess,ess,ess,ess,ess
YGR024C,ess,ess,ess,ess,ess,ess
YGR046W,ess,,ess,,,ess
YGR047C,ess,,ess,ess,,ess
YGR060W,ess,ess,ess,ess,ess,
YGR075C,ess,ess,ess,ess,ess,ess
YGR083C,ess,,ess,,,ess
YGR090W,ess,ess,ess,ess,ess,
YGR091W,ess,,ess,ess,,ess
YGR094W,ess,,ess,,,ess
YGR095C,ess,ess,ess,ess,ess,ess
YGR099W,ess,,,ess,ess,ess
YGR103W,ess,ess,ess,ess,,ess
YGR113W,ess,ess,ess,ess,,
YGR116W,ess,,ess,,,ess
YGR119C,ess,,ess,,ess,
YGR128C,ess,ess,ess,ess,ess,ess
YGR140W,ess,,ess,ess,ess,ess
YGR145W,ess,ess,ess,ess,ess,ess
YGR172C,ess,ess,ess,ess,ess,ess
YGR185C,ess,,ess,ess,ess,ess
YGR186W,ess,,ess,ess,,
YGR198W,ess,,ess,ess,,ess
YGR211W,ess,,ess,ess,ess,
YGR218W,ess,ess,ess,ess,ess,ess
YGR245C,ess,ess,ess,,ess,ess
YGR246C,ess,ess,ess,ess,,
YGR253C,ess,,ess,ess,ess,
YGR264C,ess,ess,ess,ess,,ess
YGR267C,ess,,ess,ess,ess,ess
YGR277C,ess,ess,ess,ess,ess,ess
YGR278W,ess,ess,ess,,ess,ess
YHR019C,ess,ess,ess,ess,ess,ess
YHR020W,ess,ess,ess,ess,ess,ess
YHR024C,ess,,ess,,ess,ess
YHR042W,ess,ess,ess,ess,ess,ess
YHR065C,ess,,ess,,,
YHR068W,ess,,ess,,ess,
YHR069C,ess,,,ess,ess,
YHR070W,ess,,ess,ess,ess,ess
YHR072W,ess,,,ess,,ess
YHR074W,ess,,,ess,ess,ess
YHR085W,ess,,ess,ess,ess,ess
YHR088W,ess,,ess,ess,ess,ess
YHR118C,ess,ess,ess,ess,ess,ess
YHR164C,ess,ess,ess,ess,ess,ess
YHR170W,ess,,ess,ess,,ess
YHR186C,ess,,ess,,,
YHR188C,ess,,ess,,,
YHR190W,ess,ess,ess,,ess,
YHR197W,ess,ess,ess,ess,ess,ess
YIL150C,ess,,ess,ess,,
YIL147C,ess,,ess,,,
YIL142W,ess,,,,,ess
YIL109C,ess,,ess,,,
YIL106W,ess,,ess,ess,ess,ess
YIL083C,ess,ess,ess,,,
YIL078W,ess,ess,ess,ess,,
YIL075C,ess,,,ess,,
YIL048W,ess,ess,,ess,ess,ess
YIL046W,ess,ess,ess,ess,,ess
YIL022W,ess,ess,ess,ess,ess,ess
YIL019W,ess,,,,,
YIR008C,ess,ess,ess,ess,ess,ess
YIR011C,ess,ess,ess,ess,ess,ess
YIR012W,ess,,ess,ess,ess,ess
YJL203W,ess,ess,ess,ess,ess,ess
YJL194W,ess,,ess,ess,,ess
YJL167W,ess,,ess,ess,ess,ess
YJL125C,ess,,ess,,ess,
YJL111W,ess,ess,ess,ess,ess,ess
YJL109C,ess,,ess,ess,ess,
YJL091C,ess,,ess,,ess,ess
YJL087C,ess,ess,ess,ess,ess,ess
YJL085W,ess,ess,ess,ess,ess,ess
YJL076W,ess,,,,ess,
YJL074C,ess,,ess,ess,ess,
YJL069C,ess,ess,ess,,,ess
YJL061W,ess,ess,ess,ess,ess,ess
YJL050W,ess,,ess,ess,ess,ess
YJL041W,ess,ess,ess,ess,ess,ess
YJL034W,ess,ess,ess,ess,,ess
YJL033W,ess,ess,,ess,ess,ess
YJL025W,ess,,,,,
YJL019W,ess,,,ess,,
YJL010C,ess,ess,ess,ess,ess,ess
YJL008C,ess,ess,ess,,,ess
YJL002C,ess,ess,ess,ess,ess,ess
YJR006W,ess,ess,ess,ess,ess,ess
YJR007W,ess,ess,ess,ess,ess,ess
YJR042W,ess,,ess,ess,,ess
YJR045C,ess,ess,ess,ess,ess,ess
YJR046W,ess,ess,ess,ess,ess,ess
YJR064W,ess,,,,,
YJR065C,ess,,ess,,,
YJR068W,ess,ess,ess,ess,ess,ess
YJR076C,ess,,,,,
YJR112W,ess,,ess,,,
YJR123W,ess,ess,ess,ess,ess,ess
YKL210W,ess,,ess,ess,,ess
YKL196C,ess,ess,,ess,ess,
YKL195W,ess,ess,ess,ess,ess,ess
YKL193C,ess,,ess,ess,ess,
YKL189W,ess,ess,ess,ess,ess,ess
YKL182W,ess,,ess,ess,,ess
YKL180W,ess,ess,ess,ess,ess,
YKL173W,ess,ess,ess,ess,ess,ess
YKL172W,ess,ess,ess,ess,ess,ess
YKL165C,ess,,ess,,,
YKL152C,ess,,ess,ess,ess,ess
YKL145W,ess,ess,ess,ess,ess,ess
YKL144C,ess,ess,,ess,ess,ess
YKL125W,ess,ess,ess,ess,ess,ess
YKL108W,ess,ess,ess,ess,ess,ess
YKL104C,ess,,ess,,ess,ess
YKL099C,ess,,ess,,ess,
YKL095W,ess,,,ess,ess,ess
YKL089W,ess,ess,ess,ess,ess,ess
YKL082C,ess,ess,ess,ess,ess,ess
YKL078W,ess,ess,ess,ess,ess,ess
YKL045W,ess,,,ess,ess,ess
YKL035W,ess,,ess,ess,,
