orf,label_FY,predictions_CCD,predictions_CPG,predictions_CNT,predictions_Sigma,predictions_CHM
YMR268C,ess,ess,ess,ess,ess,ess
YMR277W,ess,ess,ess,ess,ess,ess
YMR281W,ess,ess,ess,ess,ess,ess
YMR288W,ess,ess,ess,ess,ess,ess
YMR296C,ess,ess,ess,ess,ess,ess
YNL287W,ess,ess,ess,ess,ess,ess
YNL272C,ess,ess,ess,ess,ess,ess
YNL261W,ess,ess,ess,ess,ess,ess
YNL258C,ess,ess,ess,ess,ess,ess
YNL247W,ess,ess,ess,ess,ess,ess
YNL207W,ess,ess,ess,ess,ess,ess
YNL189W,ess,ess,ess,ess,ess,ess
YNL182C,ess,ess,ess,ess,ess,ess
YNL178W,ess,ess,ess,ess,ess,ess
YNL152W,ess,ess,ess,ess,ess,ess
YNL132W,ess,ess,ess,ess,ess,ess
YNL126W,ess,ess,ess,ess,ess,ess
YNL118C,ess,ess,ess,ess,ess,ess
YNL062C,ess,ess,ess,ess,ess,ess
YNL007C,ess,ess,ess,ess,ess,ess
YNR035C,ess,ess,ess,ess,ess,ess
YNR043W,ess,ess,ess,ess,ess,ess
YOL144W,ess,ess,ess,ess,ess,ess
YOL123W,ess,ess,ess,ess,ess,ess
YOL066C,ess,ess,ess,ess,ess,ess
YOR048C,ess,ess,ess,ess,ess,ess
YOR063W,ess,ess,ess,ess,ess,ess
YOR098C,ess,ess,ess,ess,ess,ess
YOR110W,ess,ess,ess,ess,ess,ess
YOR149C,ess,ess,ess,ess,ess,ess
YOR151C,ess,ess,ess,ess,ess,ess
YOR160W,ess,ess,ess,ess,ess,ess
YOR261C,ess,ess,ess,ess,ess,ess
YOR272W,ess,ess,ess,ess,ess,ess
YOR373W,ess,ess,ess,ess,ess,ess
YPL243W,ess,ess,ess,ess,ess,ess
YPL237W,ess,ess,ess,ess,ess,ess
YPL228W,ess,ess,ess,ess,ess,ess
YPL190C,ess,ess,ess,ess,ess,ess
YPL169C,ess,ess,ess,ess,ess,ess
YPL160W,ess,ess,ess,ess,ess,ess
YPL131W,ess,ess,ess,ess,ess,ess
YPL085W,ess,ess,ess,ess,ess,ess
YPL028W,ess,ess,ess,ess,ess,ess
YPR010C,ess,ess,ess,ess,ess,ess
YPR016C,ess,ess,ess,ess,ess,ess
YPR085C,ess,ess,ess,ess,ess,ess
YPR104C,ess,ess,ess,ess,ess,ess
YPR110C,ess,ess,ess,ess,ess,ess
YPR133C,ess,ess,ess,ess,ess,ess
