10,6,18,1428,0.8524590163934426
22,8,13,1978,0.8740293356341674
12,5,4,2727,0.8628127696289906
10,8,10,1032,0.8602243313201036
5,7,13,1915,0.8567730802415876
3,9,13,1969,0.8748921484037964
7,6,11,2364,0.8386540120793787
16,9,5,1205,0.8472821397756687
7,6,14,1128,0.8697152717860225
17,9,14,1194,0.8671268334771355
22,8,11,1348,0.8610871440897325
27,6,15,1523,0.8740293356341674
27,9,4,1523,0.8654012079378774
21,5,4,2562,0.8662640207075065
18,6,7,2221,0.8731665228645384
5,6,11,1807,0.8748921484037964
22,6,14,1337,0.8628127696289906
13,5,3,1364,0.8714408973252804
13,5,7,2737,0.8464193270060397
4,7,4,2518,0.8524590163934426
11,4,3,1816,0.8507333908541846
17,6,13,1832,0.8602243313201036
26,7,6,1610,0.8610871440897325
25,4,17,2741,0.8593615185504746
8,6,15,2484,0.8584987057808455
11,7,7,1054,0.8878343399482312
14,9,13,1982,0.8757549611734253
19,7,16,1587,0.8662640207075065
16,5,8,2464,0.8826574633304572
15,9,10,1187,0.8602243313201036
20,8,18,2212,0.8421052631578947
28,7,15,2682,0.8610871440897325
21,4,18,2839,0.8748921484037964
22,9,18,2064,0.8714408973252804
26,8,4,2562,0.8533218291630716
11,7,16,1021,0.8705780845556514
13,4,15,2558,0.8748921484037964
29,8,3,1055,0.8446937014667817
28,9,15,1704,0.8593615185504746
29,6,5,1205,0.8602243313201036
5,6,15,2723,0.8740293356341674
7,9,9,1725,0.8705780845556514
8,5,7,1197,0.8731665228645384
29,6,14,2770,0.8515962036238136
11,8,7,1538,0.8671268334771355
16,9,16,2747,0.8662640207075065
19,4,9,1796,0.8524590163934426
17,8,14,2164,0.8757549611734253
16,8,8,1165,0.8662640207075065
26,6,10,2345,0.8567730802415876
27,9,15,2481,0.8688524590163934
17,4,7,2859,0.8619499568593615
4,9,15,1542,0.8645383951682485
18,9,15,2852,0.8584987057808455
6,6,13,2440,0.8731665228645384
22,5,17,1993,0.8835202761000863
14,6,7,1150,0.8766177739430544
27,9,9,1514,0.8688524590163934
28,8,11,2862,0.8654012079378774
27,4,13,2551,0.8671268334771355
22,5,17,1514,0.8783433994823123
5,9,8,1468,0.8904227782571182
29,9,19,1993,0.8524590163934426
18,8,15,2364,0.8636755823986195
17,4,11,1651,0.8783433994823123
29,7,18,2019,0.8697152717860225
11,6,6,2242,0.8723037100949094
23,7,12,1981,0.8792062122519413
18,7,10,2001,0.8584987057808455
6,8,17,1637,0.8800690250215704
26,9,19,2197,0.8679896462467644
24,4,8,2128,0.8628127696289906
27,8,5,2862,0.8688524590163934
15,4,16,1832 0.8567730802415876
26,6,19,2487 0.8731665228645384
