Gene,systematic_name,Annot
ATG34,YOL083W,No
YOL085C,YOL085C,No
YOL099C,YOL099C,No
YOL106W,YOL106W,No
MDY2,YOL111C,No
TRM11,YOL124C,No
YOL131W,YOL131W,No
RTC1,YOL138C,No
YOL150C,YOL150C,No
YOL162W,YOL162W,No
IRC11,YOR013W,No
YOR019W,YOR019W,No
DDL1,YOR022C,No
MSA1,YOR066W,No
NRT1,YOR071C,No
YOR082C,YOR082C,No
LPX1,YOR084W,No
CMR2,YOR093C,No
YOR105W,YOR105W,No
YOR111W,YOR111W,No
DPI34,YOR114W,No
YOR121C,YOR121C,No
YOR131C,YOR131C,No
YOR139C,YOR139C,No
SLP1,YOR154W,No
PNS1,YOR161C,No
ALE1,YOR175C,No
YOR186W,YOR186W,No
YOR199W,YOR199W,No
AIM41,YOR215C,No
RCN2,YOR220W,No
DSC3,YOR223W,No
HER1,YOR227W,No
IRC13,YOR235W,No
TMA16,YOR252W,No
YOR263C,YOR263C,No
YOR268C,YOR268C,No
FSF1,YOR271C,No
YOR277C,YOR277C,No
YOR283W,YOR283W,No
RDL1,YOR285W,No
YOR289W,YOR289W,No
YPK9,YOR291W,No
YOR292C,YOR292C,No
YOR296W,YOR296W,No
YOR300W,YOR300W,No
BIL1,YOR304C-A,No
YOR318C,YOR318C,No
LDB19,YOR322C,No
YOR325W,YOR325W,No
YOR345C,YOR345C,No
YOR364W,YOR364W,No
AMF1,YOR378W,No
RQC2,YPL009C,No
IRC15,YPL017C,No
TRM44,YPL030W,No
YPL034W,YPL034W,No
YPL039W,YPL039W,No
OAZ1,YPL052W,No
LCL1,YPL056C,No
YPL062W,YPL062W,No
HTC1,YPL067C,No
YPL077C,YPL077C,No
YPL088W,YPL088W,No
YPL108W,YPL108W,No
GDE1,YPL110C,No
YPL114W,YPL114W,No
YPL136W,YPL136W,No
MRX4,YPL168W,No
YPL182C,YPL182C,No
YPL185W,YPL185W,No
YPL191C,YPL191C,No
YPL199C,YPL199C,No
YIG1,YPL201C,No
RKM1,YPL208W,No
YPL229W,YPL229W,No
ENV7,YPL236C,No
YPL245W,YPL245W,No
YPL247C,YPL247C,No
YPL257W,YPL257W,No
CUB1,YPL260W,No
YPL261C,YPL261C,No
ACM1,YPL267W,No
PBI1,YPL272C,No
AIM45,YPR004C,No
CMR3,YPR013C,No
YPR014C,YPR014C,No
YPR015C,YPR015C,No
SDD4,YPR022C,No
YPR027C,YPR027C,No
IRC16,YPR038W,No
THP3,YPR045C,No
YPR050C,YPR050C,No
YPR064W,YPR064W,No
YPR076W,YPR076W,No
YPR078C,YPR078C,No
YPR084W,YPR084W,No
ASR1,YPR093C,No
YPR096C,YPR096C,No
YPR099C,YPR099C,No
YPR114W,YPR114W,No
RRG8,YPR116W,No
YPR123C,YPR123C,No
YPR126C,YPR126C,No
YPR146C,YPR146C,No
YPR148C,YPR148C,No
URN1,YPR152C,No
TDA6,YPR157W,No
YPR174C,YPR174C,No
YPR195C,YPR195C,No
YPR197C,YPR197C,No
YAL066W,YAL066W,No
YAR023C,YAR023C,No
YAR028W,YAR028W,No
YAR030C,YAR030C,No
YAR047C,YAR047C,No
ALK2,YBL009W,No
YBL012C,YBL012C,No
YBL029W,YBL029W,No
YGL149W,YGL149W,No
ARI1,YGL157W,No
RAD23,YEL037C,No
CYC7,YEL039C,No
GLY1,YEL046C,No
RML2,YEL050C,No
AFG1,YEL052W,No
RPL12A,YEL054C,No
HAT2,YEL056W,No
PRB1,YEL060C,No
SIT1,YEL065W,No
DLD3,YEL071W,No
TIR1,YER011W,No
BIM1,YER016W,No
GPA2,YER020W,No
FIR1,YER032W,No
EDC2,YER035W,No
GLN3,YER040W,No
SAP1,YER047C,No
GIP2,YER054C,No
HIS1,YER055C,No
FCY2,YER056C,No
RPL34A,YER056C-A,No
HMF1,YER057C,No
PET117,YER058W,No
FCY21,YER060W,No
GPP2,YER062C,No
THO1,YER063W,No
ICL1,YER065C,No
MOT2,YER068W,No
RNR1,YER070W,No
ALD5,YER073W,No
RPS24A,YER074W,No
PTP3,YER075C,No
SER3,YER081W,No
SBH1,YER087C-B,No
SHC1,YER096W,No
AST2,YER101C,No
KAP123,YER110C,No
SPR6,YER115C,No
SHO1,YER118C,No
GLO3,YER122C,No
SAK1,YER129W,No
PMD1,YER132C,No
DDI1,YER143W,No
SPI1,YER150W,No
PET122,YER153C,No
BEM2,YER155C,No
RAD4,YER162C,No
RPH1,YER169W,No
RAD24,YER173W,No
PDA1,YER178W,No
ISC10,YER180C,No
HSP12,YFL014W,No
LPD1,YFL018C,No
BST1,YFL025C,No
CAF16,YFL028C,No
RPL22B,YFL034C-A,No
ALR2,YFL050C,No
AGP3,YFL055W,No
GCN20,YFR009W,No
IOC3,YFR013W,No
GSY1,YFR015C,No
PES4,YFR023W,No
QCR6,YFR033C,No
CDC26,YFR036W,No
SAP155,YFR040W,No
CDH1,YGL003C,No
KAP122,YGL016W,No
ALK1,YGL021W,No
PIB2,YGL023C,No
CWH41,YGL027C,No
SCW11,YGL028C,No
CGR1,YGL029W,No
RPL24A,YGL031C,No
AGA2,YGL032C,No
HOP2,YGL033W,No
MIG1,YGL035C,No
PNC1,YGL037C,No
OCH1,YGL038C,No
DST1,YGL043W,No
TIF4632,YGL049C,No
ERV14,YGL054C,No
SDS23,YGL056C,No
RAD6,YGL058W,No
PYC1,YGL062W,No
RPB9,YGL070C,No
RPL7A,YGL076C,No
DBP3,YGL078C,No
MAD1,YGL086W,No
MF(ALPHA)2,YGL089C,No
VPS45,YGL095C,No
SOH1,YGL127C,No
ITC1,YGL133W,No
NUT1,YGL151W,No
RCK1,YGL158W,No
RAD54,YGL163C,No
PMR1,YGL167C,No
XRN1,YGL173C,No
ATG1,YGL180W,No
HOS2,YGL194C,No
MDS3,YGL197W,No
ARO8,YGL202W,No
POX1,YGL205W,No
MIG2,YGL209W,No
VAM7,YGL212W,No
CLG1,YGL215W,No
NIF3,YGL221C,No
VID30,YGL227W,No
MTO1,YGL236C,No
KAP114,YGL241W,No
RTF1,YGL244W,No
PDE1,YGL248W,No
HXK2,YGL253W,No
YPS5,YGL259W,No
ECT1,YGR007W,No
MSB2,YGR014W,No
VMA7,YGR020C,No
RPS25A,YGR027C,No
ACB1,YGR037C,No
KSS1,YGR040W,No
RME1,YGR044C,No
MUP1,YGR055W,No
RSC1,YGR056W,No
SPR3,YGR059W,No
COX18,YGR062C,No
SPT4,YGR063C,No
ROM1,YGR070W,No
MRPL25,YGR076C,No
PEX8,YGR077C,No
PAC10,YGR078C,No
TWF1,YGR080W,No
RPL11B,YGR085C,No
CTT1,YGR088W,No
DBF2,YGR092W,No
SRB5,YGR104C,No
CLB1,YGR108W,No
SHY1,YGR112W,No
MEP1,YGR121C,No
ASN2,YGR124W,No
PHB1,YGR132C,No
PRE9,YGR135W,No
SKN1,YGR143W,No
RSR1,YGR152C,No
CHO2,YGR157W,No
NSR1,YGR159C,No
TRS65,YGR166W,No
PSD2,YGR170W,No
RNR4,YGR180C,No
QCR9,YGR183C,No
HGH1,YGR187C,No
CRH1,YGR189C,No
TDH3,YGR192C,No
XKS1,YGR194C,No
SNG1,YGR197C,No
ELP2,YGR200C,No
RPS0A,YGR214W,No
CCH1,YGR217W,No
MRPL9,YGR220C,No
AZR1,YGR224W,No
DIE2,YGR227W,No
BNS1,YGR230W,No
NAS6,YGR232W,No
KEL2,YGR238C,No
PFK1,YGR240C,No
LSC2,YGR244C,No
MGA1,YGR249W,No
GND2,YGR256W,No
APL6,YGR261C,No
YOR1,YGR281W,No
ERV29,YGR284C,No
BIO2,YGR286C,No
STE20,YHL007C,No
PRS3,YHL011C,No
APM2,YHL019C,No
SPO11,YHL022C,No
ECM29,YHL030W,No
GUT1,YHL032C,No
CBP2,YHL038C,No
ECM34,YHL043W,No
ARN2,YHL047C,No
QCR10,YHR001W-A,No
NEM1,YHR004C,No
GPA1,YHR005C,No
SOD2,YHR008C,No
RPL27A,YHR010W,No
SAS2,YMR127C,No
GAT2,YMR136W,No
CIN4,YMR138W,No
RPL13B,YMR142C,No
IMP1,YMR150C,No
MSS11,YMR164C,No
MLH1,YMR167W,No
ALD3,YMR169C,No
HOT1,YMR172W,No
PAI3,YMR174C,No
SIP18,YMR175W,No
ECM5,YMR176W,No
MMT1,YMR177W,No
SPT21,YMR179W,No
CTL1,YMR180C,No
RGM1,YMR182C,No
SSO2,YMR183C,No
HSC82,YMR186W,No
GCV2,YMR189W,No
SGS1,YMR190C,No
MRPL24,YMR193W,No
RPL36A,YMR194W,No
ICY1,YMR195W,No
CIK1,YMR198W,No
CLN1,YMR199W,No
RAD14,YMR201C,No
HFA1,YMR207C,No
UBP8,YMR223W,No
MRPL44,YMR225C,No
MTF1,YMR228W,No
RPS10B,YMR230W,No
FUS2,YMR232W,No
RPL20A,YMR242C,No
GAD1,YMR250W,No
GFD1,YMR255W,No
PET111,YMR257C,No
TPS3,YMR261C,No
PPA2,YMR267W,No
SCS7,YMR272C,No
DSK2,YMR276W,No
RIT1,YMR283C,No
MRPL33,YMR286W,No
JNM1,YMR294W,No
PRC1,YMR297W,No
ADH2,YMR303C,No
SCW10,YMR305C,No
GLC8,YMR311C,No
DIA1,YMR316W,No
DOM34,YNL001W,No
PET8,YNL003C,No
MRP7,YNL005C,No
SPO1,YNL012W,No
PUB1,YNL016W,No
FAP1,YNL023C,No
HHF2,YNL030W,No
YIP3,YNL044W,No
COX5A,YNL052W,No
YDJ1,YNL064C,No
FKH2,YNL068C,No
RNH201,YNL072W,No
MLF3,YNL074C,No
MKS1,YNL076W,No
PMS1,YNL082W,No
MKT1,YNL085W,No
RHO2,YNL090W,No
PHO23,YNL097C,No
LEU4,YNL104C,No
YAF9,YNL107W,No
ESBP6,YNL125C,No
TEP1,YNL128W,No
CPT1,YNL130C,No
SRV2,YNL138W,No
THO2,YNL139C,No
AAH1,YNL141W,No
MEP2,YNL142W,No
MFA2,YNL145W,No
ALF1,YNL148C,No
GIM3,YNL153C,No
YCK2,YNL154C,No
YGP1,YNL160W,No
BNI5,YNL166C,No
SKO1,YNL167C,No
PSD1,YNL169C,No
NOP13,YNL175C,No
RHO5,YNL180C,No
MRPL19,YNL185C,No
GCR2,YNL199C,No
VID27,YNL212W,No
ATG4,YNL223W,No
BNI4,YNL233W,No
YTP1,YNL237W,No
ATG2,YNL242W,No
MPA43,YNL249C,No
GIS2,YNL255C,No
ALP1,YNL270C,No
MET2,YNL277W,No
ERG24,YNL280C,No
CUS2,YNL286W,No
PCL1,YNL289W,No
MID1,YNL291C,No
MON2,YNL297C,No
RPS19B,YNL302C,No
STB1,YNL309W,No
HXT14,YNL318C,No
FIG4,YNL325C,No
AAD14,YNL331C,No
SNZ2,YNL333W,No
CIT1,YNR001C,No
SMM1,YNR015W,No
ALG12,YNR030W,No
HUB1,YNR032C-A,No
ABZ1,YNR033W,No
PET494,YNR045W,No
HOL1,YNR055C,No
BIO4,YNR057C,No
MNT4,YNR059W,No
HXT17,YNR072W,No
COS10,YNR075W,No
PHO80,YOL001W,No
MDM12,YOL009C,No
PLB3,YOL011W,No
HRD1,YOL013C,No
CMK2,YOL016C,No
TAT2,YOL020W,No
IFM1,YOL023W,No
LAG2,YOL025W,No
YAP7,YOL028C,No
MSE1,YOL033W,No
RPP2A,YOL039W,No
GAL11,YOL051W,No
THI20,YOL055C,No
PRS5,YOL061W,No
HST1,YOL068C,No
MDM20,YOL076W,No
MPD2,YOL088C,No
MSH2,YOL090W,No
HMI1,YOL095C,No
NDJ1,YOL104C,No
SHR5,YOL110W,No
SKM1,YOL113W,No
MSN1,YOL116W,No
RPS19A,YOL121C,No
MDH2,YOL126C,No
RIB4,YOL143C,No
PEX11,YOL147C,No
GRE2,YOL151W,No
ENB1,YOL158C,No
ALG6,YOR002W,No
SGT2,YOR007C,No
RTS1,YOR014W,No
PET127,YOR017W,No
HST3,YOR025W,No
STI1,YOR027W,No
HMS1,YOR032C,No
SHE4,YOR035C,No
CYC2,YOR037W,No
CKB2,YOR039W,No
WHI2,YOR043W,No
ASE1,YOR058C,No
CYT1,YOR065W,No
ATX2,YOR079C,No
OST3,YOR085W,No
PTC5,YOR090C,No
ARF3,YOR094W,No
RPS7A,YOR096W,No
KTR1,YOR099W,No
RAS1,YOR101W,No
RGS2,YOR107W,No
GCY1,YOR120W,No
FUR4,YBR021W,No
YGL230C,YGL230C,No
PAU11,YGL261C,No
EFM5,YGR001C,No
MCY1,YGR012W,No
YGR016W,YGR016W,No
YGR018C,YGR018C,No
YGR022C,YGR022C,No
YGR025W,YGR025W,No
YGR026W,YGR026W,No
YGR039W,YGR039W,No
NQM1,YGR043C,No
YGR051C,YGR051C,No
MCO32,YGR053C,No
YGR066C,YGR066C,No
ART5,YGR068C,No
YGR069W,YGR069W,No
DRN1,YGR093W,No
YGR107W,YGR107W,No
YGR111W,YGR111W,No
YGR117C,YGR117C,No
YGR125W,YGR125W,No
YGR127W,YGR127W,No
YGR130C,YGR130C,No
YGR137W,YGR137W,No
YGR139W,YGR139W,No
GPC1,YGR149W,No
CCM1,YGR150C,No
YGR176W,YGR176W,No
YCH1,YGR203W,No
YGR210C,YGR210C,No
MIC26,YGR235C,No
YHL045W,YHL045W,No
TCD1,YHR003C,No
YHR033W,YHR033W,No
NEL1,YHR035W,No
YHR078W,YHR078W,No
YHR095W,YHR095W,No
GEP4,YHR100C,No
APE4,YHR113W,No
COX23,YHR116W,No
YHR131C,YHR131C,No
YHR139C-A,YHR139C-A,No
TDA11,YHR159W,No
YHR180W,YHR180W,No
YHR202W,YHR202W,No
YHR210C,YHR210C,No
YIA6,YIL006W,No
YIL012W,YIL012W,No
YIL024C,YIL024C,No
EMA17,YIL029C,No
PKP1,YIL042C,No
YIL055C,YIL055C,No
YIL058W,YIL058W,No
YIL059C,YIL059C,No
EFM4,YIL064W,No
YIL086C,YIL086C,No
YIL092W,YIL092W,No
BMT5,YIL096C,No
YIL100W,YIL100W,No
DPH1,YIL103W,No
HPM1,YIL110W,No
NRE1,YIR035C,No
YIR042C,YIR042C,No
YJL007C,YJL007C,No
TPH3,YJL016W,No
YJL022W,YJL022W,No
YJL028W,YJL028W,No
IRC18,YJL037W,No
YJL043W,YJL043W,No
AIM22,YJL046W,No
CHM7,YJL049W,No
LOG1,YJL055W,No
YJL064W,YJL064W,No
YJL068C,YJL068C,No
YJL070C,YJL070C,No
ALY2,YJL084C,No
YJL118W,YJL118W,No
YJL120W,YJL120W,No
MTC1,YJL123C,No
YJL132W,YJL132W,No
IRC9,YJL142C,No
DAS1,YJL149W,No
YJL152W,YJL152W,No
YJL163C,YJL163C,No
TOH1,YJL171C,No
YJL182C,YJL182C,No
ATG36,YJL185C,No
YJL213W,YJL213W,No
IMA5,YJL216C,No
YJL218W,YJL218W,No
MRX12,YJR003C,No
YJR011C,YJR011C,No
TMA22,YJR014W,No
YJR018W,YJR018W,No
YJR026W,YJR026W,No
YJR037W,YJR037W,No
YJR056C,YJR056C,No
EMC2,YJR088C,No
AIM25,YJR100C,No
SKA1,YKL023W,No
YKL030W,YKL030W,No
MMO1,YKL044W,No
ANR2,YKL047W,No
TMA19,YKL056C,No
BLI1,YKL061W,No
YKL066W,YKL066W,No
YKL070W,YKL070W,No
YKL075C,YKL075C,No
YKL097C,YKL097C,No
YKL102C,YKL102C,No
YKL107W,YKL107W,No
YKL115C,YKL115C,No
DGR2,YKL121W,No
YKL131W,YKL131W,No
NNR2,YKL151C,No
YKL162C,YKL162C,No
YKL169C,YKL169C,No
TPO5,YKL174C,No
FAT3,YKL187C,No
ADD66,YKL206C,No
YKR012C,YKR012C,No
YKR015C,YKR015C,No
HEL1,YKR017C,No
YKR033C,YKR033C,No
YKR041W,YKR041W,No
YKR045C,YKR045C,No
YKR047W,YKR047W,No
HFL1,YKR051W,No
OAF3,YKR064W,No
AIM29,YKR074W,No
OMA1,YKR087C,No
ESL2,YKR096W,No
VBA5,YKR105C,No
YLL059C,YLL059C,No
THI73,YLR004C,No
PML1,YLR016C,No
IRC25,YLR021W,No
IZH3,YLR023C,No
YLR031W,YLR031W,No
YLR036C,YLR036C,No
AFB1,YLR040C,No
YLR042C,YLR042C,No
FRE8,YLR047C,No
EMA19,YLR050C,No
YLR053C,YLR053C,No
MNL2,YLR057W,No
BMT6,YLR063W,No
RFU1,YLR073C,No
GEP5,YLR091W,No
YLR112W,YLR112W,No
YLR122C,YLR122C,No
YLR124W,YLR124W,No
RKM5,YLR137W,No
YLR152C,YLR152C,No
SHH4,YLR164W,No
UPS2,YLR168C,No
YLR184W,YLR184W,No
SKG3,YLR187W,No
NCW2,YLR194C,No
PBA1,YLR199C,No
YLR202C,YLR202C,No
YLR217W,YLR217W,No
YLR225C,YLR225C,No
CSC1,YLR241W,No
IRC20,YLR247C,No
NDL1,YLR254C,No
YLR257W,YLR257W,No
TMA7,YLR262C-A,No
CMG1,YLR271W,No
YLR279W,YLR279W,No
RSO55,YLR281C,No
YLR283W,YLR283W,No
YLR345W,YLR345W,No
YLR349W,YLR349W,No
LUG1,YLR352W,No
YLR358C,YLR358C,No
GRX8,YLR364W,No
YLR365W,YLR365W,No
ART10,YLR392C,No
SEI1,YLR404W,No
YLR407W,YLR407W,No
PUN1,YLR414C,No
YLR416C,YLR416C,No
RPL7B,YPL198W,No
ATG14,YBR128C,No
SHE3,YBR130C,No
YPR077C,YPR077C,No
SCO2,YBR024W,No
HMT1,YBR034C,No
SCO1,YBR037C,No
ATP3,YBR039W,No
FAT1,YBR041W,No
GIP1,YBR045C,No
RPS11B,YBR048W,No
TEC1,YBR083W,No
MIS1,YBR084W,No
IST2,YBR086C,No
PHO3,YBR092C,No
VPS15,YBR097W,No
VID24,YBR105C,No
IML3,YBR107C,No
CYC8,YBR112C,No
LYS2,YBR115C,No
TEF2,YBR118W,No
MRPL36,YBR122C,No
PTC4,YBR125C,No
TPS1,YBR126C,No
ADH5,YBR145W,No
YSW1,YBR148W,No
TBS1,YBR150C,No
APD1,YBR151W,No
ICS2,YBR157C,No
UBS1,YBR165W,No
NPL4,YBR170C,No
SEC66,YBR171W,No
UMP1,YBR173C,No
EHT1,YBR177C,No
SMP1,YBR182C,No
MBA1,YBR185C,No
NTC20,YBR188C,No
RPL21A,YBR191W,No
BEM1,YBR200W,No
FTH1,YBR207W,No
MET8,YBR213W,No
PYC2,YBR218C,No
PCS60,YBR222C,No
ROT2,YBR229C,No
ISW1,YBR245C,No
HIS7,YBR248C,No
MRPS5,YBR251W,No
SHM1,YBR263W,No
HSM3,YBR272C,No
RIF1,YBR275C,No
DPB3,YBR278W,No
KCC4,YCL024W,No
FRM2,YCL026C-A,No
RNQ1,YCL028W,No
HIS4,YCL030C,No
GRX1,YCL035C,No
GLK1,YCL040W,No
APA1,YCL050C,No
KAR4,YCL055W,No
CDC10,YCR002C,No
YCP4,YCR004C,No
ADP1,YCR011C,No
MAK32,YCR019W,No
MAK31,YCR020C-A,No
HSP30,YCR021C,No
RHB1,YCR027C,No
RIM1,YCR028C-A,No
BPH1,YCR032W,No
PHO87,YCR037C,No
IMG1,YCR046C,No
RAD18,YCR066W,No
CPR4,YCR069W,No
SSK22,YCR073C,No
ERS1,YCR075C,No
SRB8,YCR081W,No
TUP1,YCR084C,No
FIG2,YCR089W,No
KIN82,YCR091W,No
MED2,YDL005C,No
SLX5,YDL013W,No
RPN4,YDL020C,No
DIA3,YDL024C,No
GPR1,YDL035C,No
SIR2,YDL042C,No
MTF2,YDL044C,No
MRP10,YDL045W-A,No
STP4,YDL048C,No
LHP1,YDL051W,No
RAD59,YDL059C,No
RPS29B,YDL061C,No
PEX19,YDL065C,No
COX9,YDL067C,No
BDF2,YDL070W,No
VAM6,YDL077C,No
MRK1,YDL079C,No
RPP1A,YDL081C,No
RPS16B,YDL083C,No
RAM1,YDL090C,No
PMT1,YDL095W,No
QRI7,YDL104C,No
MSS2,YDL107W,No
MSH5,YDL154W,No
CLB3,YDL155W,No
DHH1,YDL160C,No
NRP1,YDL167C,No
UGX2,YDL169C,No
GLT1,YDL171C,No
DLD2,YDL178W,No
INH1,YDL181W,No
RPL41A,YDL184C,No
VMA1,YDL185W,No
UFD2,YDL190C,No
ARF1,YDL192W,No
GGC1,YDL198C,No
MRPL11,YDL202W,No
GDH2,YDL215C,No
WHI4,YDL224C,No
SSB1,YDL229W,No
BRE4,YDL231C,No
GYP7,YDL234C,No
AAD4,YDL243C,No
GCV1,YDR019C,No
ATG31,YDR022C,No
RPS11A,YDR025W,No
REG1,YDR028C,No
PST2,YDR032C,No
PST1,YDR055W,No
UBC5,YDR059C,No
DOA4,YDR069C,No
SNF11,YDR073W,No
PPH3,YDR075W,No
PET100,YDR079W,No
AFR1,YDR085C,No
GIS1,YDR096W,No
STE5,YDR103W,No
DPB4,YDR121W,No
ARO1,YDR127W,No
FIN1,YDR130C,No
RGP1,YDR137W,No
STB3,YDR169C,No
HSP42,YDR171W,No
ARG82,YDR173C,No
NGG1,YDR176W,No
SDH4,YDR178W,No
ATC1,YDR184C,No
HST4,YDR191W,No
MSS116,YDR194C,No
CBS2,YDR197W,No
EBS1,YDR206W,No
UPC2,YDR213W,No
RAD9,YDR217C,No
ADK1,YDR226W,No
MRPL7,YDR237W,No
AMD2,YDR242W,No
PEX5,YDR244W,No
BTT1,YDR252W,No
CHL4,YDR254W,No
RKM4,YDR257C,No
YAP6,YDR259C,No
EXG2,YDR261C,No
AKR1,YDR264C,No
PEX10,YDR265W,No
ZIP1,YDR285W,No
DPL1,YDR294C,No
MHR1,YDR296W,No
ATP5,YDR298C,No
CPR5,YDR304C,No
SUM1,YDR310C,No
SSF2,YDR312W,No
IPK1,YDR315C,No
ASP1,YDR321W,No
PEP7,YDR323C,No
PEX3,YDR329C,No
MRPS28,YDR337W,No
MRP1,YDR347W,No
ATP22,YDR350C,No
EAF1,YDR359C,No
ESC2,YDR363W,No
CDC40,YDR364C,No
YPR1,YDR368W,No
ILV6,YCL009C,No
ZUO1,YGR285C,No
MAL13,YGR288W,No
SNL1,YIL016W,No
YBL036C,YBL036C,No
LAG1,YHL003C,No
YLF2,YHL014C,No
DUR3,YHL016C,No
OPI1,YHL020C,No
SNF6,YHL025W,No
WSC4,YHL028W,No
GOS1,YHL031C,No
RPL8A,YHL033C,No
MUP3,YHL036W,No
DAP2,YHR028C,No
RRM3,YHR031C,No
RRF1,YHR038W,No
DOG2,YHR043C,No
COX6,YHR051W,No
GIC1,YHR061C,No
SSZ1,YHR064C,No
SSF1,YHR066W,No
PPE1,YHR075C,No
NAM8,YHR086W,No
HXT4,YHR092C,No
HXT1,YHR094C,No
GRE3,YHR104W,No
BZZ1,YHR114W,No
TOM71,YHR117W,No
MSH1,YHR120W,No
NDT80,YHR124W,No
ARO9,YHR137W,No
MRPL6,YHR147C,No
SPO12,YHR152W,No
RTT107,YHR154W,No
REC104,YHR157W,No
PEX18,YHR160C,No
SOL3,YHR163W,No
ATG7,YHR171W,No
GND1,YHR183W,No
PFS1,YHR185C,No
CTF8,YHR191C,No
NVJ1,YHR195W,No
RPN10,YHR200W,No
SKN7,YHR206W,No
EST3,YIL009C-A,No
DOT5,YIL010W,No
MNT3,YIL014W,No
RPL2B,YIL018W,No
SSM4,YIL030C,No
BCY1,YIL033C,No
CKA1,YIL035C,No
NOT3,YIL038C,No
PCL7,YIL050W,No
GPP1,YIL053W,No
MAM33,YIL070C,No
SPO22,YIL073C,No
REV7,YIL139C,No
MLP2,YIL149C,No
UBP7,YIL156W,No
NIT1,YIL164C,No
YIL171W,YIL171W,No
VTH1,YIL173W,No
MPH1,YIR002C,No
MSL1,YIR009W,No
GAT4,YIR013C,No
YAP5,YIR018W,No
YVH1,YIR026C,No
DAL4,YIR028W,No
DCG1,YIR030C,No
DAL3,YIR032C,No
HYR1,YIR037W,No
YPS6,YIR039C,No
MAD2,YJL030W,No
GYP6,YJL044C,No
PEP8,YJL053W,No
ZAP1,YJL056C,No
YHC3,YJL059W,No
LAS21,YJL062W,No
PRY3,YJL078C,No
IML2,YJL082W,No
SIP4,YJL089W,No
SRS2,YJL092W,No
SAP185,YJL098W,No
MEF2,YJL102W,No
GZF3,YJL110C,No
MDV1,YJL112W,No
NCA3,YJL116C,No
RPE1,YJL121C,No
SPT10,YJL127C,No
MRS3,YJL133W,No
GLG2,YJL137C,No
YUR1,YJL139C,No
YAK1,YJL141C,No
IDS2,YJL146W,No
INO1,YJL153C,No
RPS22A,YJL190C,No
UBP12,YJL197W,No
CBP1,YJL209W,No
PEX2,YJL210W,No
HXT8,YJL214W,No
SAG1,YJR004C,No
TDH2,YJR009C,No
REC107,YJR021C,No
BNA1,YJR025C,No
CPR7,YJR032W,No
RAV1,YJR033C,No
HUL4,YJR036C,No
ANB1,YJR047C,No
UTR1,YJR049C,No
OSM1,YJR051W,No
BFA1,YJR053W,No
RPA12,YJR063W,No
HAM1,YJR069C,No
MOG1,YJR074W,No
GRR1,YJR090C,No
BUD4,YJR092W,No
YUH1,YJR099W,No
SOD1,YJR104C,No
ABM1,YJR108W,No
ILM1,YJR118C,No
IBA57,YJR122W,No
ENT3,YJR125C,No
STR2,YJR130C,No
XPT1,YJR133W,No
SGM1,YJR134C,No
RPS4A,YJR145C,No
BAT2,YJR148W,No
DAL5,YJR152W,No
MET14,YKL001C,No
RPL14A,YKL006W,No
LAC1,YKL008C,No
MRT4,YKL009W,No
CCE1,YKL011C,No
ATP7,YKL016C,No
GPX1,YKL026C,No
MAE1,YKL029C,No
RGT1,YKL038W,No
NFU1,YKL040C,No
OAR1,YKL055C,No
CWP1,YKL096W,No
KTI12,YKL110C,No
RAD27,YKL113C,No
APN1,YKL114C,No
VPH2,YKL119C,No
PGM1,YKL127W,No
MYO3,YKL129C,No
CTK1,YKL139W,No
MRP8,YKL142W,No
SDH1,YKL148C,No
MCR1,YKL150W,No
APE2,YKL157W,No
PIR3,YKL163W,No
MRP49,YKL167C,No
MRPL38,YKL170W,No
LST4,YKL176C,No
ASH1,YKL185W,No
PXA2,YKL188C,No
MST1,YKL194C,No
PTK1,YKL198C,No
MNN4,YKL201C,No
EAP1,YKL204W,No
CBT1,YKL208W,No
URA1,YKL216W,No
VPS1,YKR001C,No
FOX2,YKR009C,No
PRY2,YKR013W,No
SAP190,YKR028W,No
DAL80,YKR034W,No
UTH1,YKR042W,No
NAP1,YKR048C,No
MRS4,YKR052C,No
DYN1,YKR054C,No
TRM2,YKR056W,No
GLG1,YKR058W,No
PUS1,YPL212C,No
PSY4,YBL046W,No
RRT1,YBL048W,No
TOD6,YBL054W,No
YEL1,YBL060W,No
YBL071C,YBL071C,No
YBL094C,YBL094C,No
HEH2,YDR458C,No
CBP3,YPL215W,No
PCL8,YPL219W,No
FLC1,YPL221W,No
MMT2,YPL224C,No
SSO1,YPL232W,No
YAR1,YPL239W,No
CIN2,YPL241C,No
HUT1,YPL244C,No
ATG41,YPL250C,No
VIK1,YPL253C,No
THI21,YPL258C,No
ATP20,YPR020W,No
YME1,YPR024W,No
ATH1,YPR026W,No
APL4,YPR029C,No
VMA13,YPR036W,No
PUF2,YPR042C,No
MCM16,YPR046W,No
MAK3,YPR051W,No
SMK1,YPR054W,No
YMC1,YPR058W,No
FCY1,YPR062W,No
UBA3,YPR066W,No
HOS1,YPR068C,No
MED1,YPR070W,No
LTP1,YPR073C,No
OPY2,YPR075C,No
SYT1,YPR095C,No
CLB2,YPR119W,No
THI22,YPR121W,No
CTR1,YPR124W,No
NAT3,YPR131C,No
RPS23B,YPR132W,No
CTF4,YPR135W,No
MEP3,YPR138C,No
ASN1,YPR145W,No
NCA2,YPR155C,No
GPH1,YPR160W,No
MMS1,YPR164W,No
MRP2,YPR166C,No
HDA3,YPR179C,No
ATG13,YPR185W,No
SKI3,YPR189W,No
