forest_23_8_16_1046_91.0,0.9103068450039339,0.72777778,[0.66836735 0.9544186 ],[0.69680851 0.94736842],1360
forest_13_5_15_1055_91.0,0.9103068450039339,0.71511628,[0.65425532 0.95475531],[0.68333333 0.94775435],1397
forest_18_4_19_1435_91.0,0.9071597167584579,0.69714286,[0.65240642 0.95110701],[0.67403315 0.94587156],1240
forest_26_8_12_1227_92.0,0.923682140047207,0.77540107,[0.725      0.96078431],[0.74935401 0.9549884 ],1101
forest_26_7_19_1283_92.0,0.9166011014948859,0.76923077,[0.68627451 0.9606373 ],[0.7253886  0.95083488],1151
forest_26_4_7_1171_92.0,0.9213217938630999,0.76536313,[0.7025641  0.96096654],[0.73262032 0.95387454],835
forest_27_8_7_1249_92.0,0.918174665617624,0.76129032,[0.63783784 0.96593002],[0.69411765 0.95277021],1267
forest_27_8_19_1001_92.0,0.919748229740362,0.76111111,[0.69897959 0.96      ],[0.7287234  0.95290859],637
forest_25_7_18_1311_93.0,0.926829268292683,0.76111111,[0.73262032 0.9603321 ],[0.74659401 0.95724138],1312
forest_14_5_12_1000_91.0,0.9134539732494099,0.75949367,[0.625      0.96478221],[0.68571429 0.94981752],849
forest_28_5_5_1478_92.0,0.9166011014948859,0.75274725,[0.69191919 0.95806151],[0.72105263 0.95097132],1722
forest_18_4_5_1240_92.0,0.9228953579858379,0.75268817,[0.72916667 0.95736793],[0.74074074 0.95471349],867
forest_13_6_10_1262_92.0,0.9244689221085759,0.75151515,[0.69273743 0.96245421],[0.72093023 0.95632393],247
forest_24_7_7_1389_92.0,0.9173878835562549,0.75132275,[0.71       0.95611578],[0.73007712 0.95123084],1498
forest_21_4_17_1091_91.0,0.912667191188041,0.75,[0.61904762 0.96395564],[0.67826087 0.94947656],1612
forest_20_8_8_1043_92.0,0.9189614476789929,0.74719101,[0.69633508 0.95833333],[0.72086721 0.95260009],347
forest_18_4_11_1264_92.0,0.918174665617624,0.74698795,[0.66666667 0.96129032],[0.70454545 0.95251142],565
forest_11_6_15_1414_93.0,0.926829268292683,0.74691358,[0.69942197 0.96265938],[0.72238806 0.95786135],1425
forest_13_6_19_1237_92.0,0.9173878835562549,0.74566474,[0.67894737 0.95929695],[0.7107438  0.95181276],1026
forest_10_7_5_1374_92.0,0.918174665617624,0.74489796,[0.73       0.95331466],[0.73737374 0.95153774],460
