forest_24_7_14_1403_100.0,0.9972826086956522,1.0,0.9945054945054945,0.9972451790633609,24
forest_16_9_12_1385_99.0,0.9918478260869565,1.0,0.9844559585492227,0.9921671018276762,40
forest_11_10_15_1285_100.0,0.9972826086956522,1.0,0.9945652173913043,0.9972752043596731,51
forest_22_5_19_1433_100.0,1.0,1.0,1.0,1.0,73
forest_17_6_14_1350_100.0,1.0,1.0,1.0,1.0,90
forest_23_8_18_1358_100.0,1.0,1.0,1.0,1.0,113
forest_25_8_12_1304_100.0,0.9972826086956522,1.0,0.994475138121547,0.9972299168975068,138
forest_22_8_18_1435_100.0,1.0,1.0,1.0,1.0,160
forest_17_6_15_1210_100.0,1.0,1.0,1.0,1.0,177
forest_15_6_10_1375_100.0,0.9972826086956522,1.0,0.9943820224719101,0.9971830985915493,192
forest_11_11_13_1412_100.0,1.0,1.0,1.0,1.0,203
forest_29_4_13_1396_100.0,1.0,1.0,1.0,1.0,232
forest_14_11_15_1318_100.0,1.0,1.0,1.0,1.0,246
forest_15_11_12_1207_100.0,0.9972826086956522,1.0,0.9947368421052631,0.9973614775725593,261
forest_19_9_11_1493_100.0,1.0,1.0,1.0,1.0,280
forest_19_9_13_1272_100.0,1.0,1.0,1.0,1.0,299
forest_20_8_12_1394_100.0,1.0,1.0,1.0,1.0,319
forest_22_5_13_1391_100.0,1.0,1.0,1.0,1.0,341
forest_17_7_12_1306_100.0,0.9972826086956522,1.0,0.9942196531791907,0.9971014492753623,358
forest_26_7_15_1478_100.0,1.0,1.0,1.0,1.0,384
forest_25_3_17_1340_100.0,0.9972826086956522,1.0,0.9941520467836257,0.9970674486803519,409
forest_17_9_19_1294_100.0,1.0,1.0,1.0,1.0,426
forest_26_5_15_1275_100.0,1.0,1.0,1.0,1.0,452
forest_14_5_12_1283_100.0,1.0,1.0,1.0,1.0,466
forest_19_11_16_1421_100.0,1.0,1.0,1.0,1.0,485
forest_23_11_14_1292_100.0,1.0,1.0,1.0,1.0,508
forest_19_9_13_1236_100.0,1.0,1.0,1.0,1.0,527
forest_24_5_11_1333_100.0,1.0,1.0,1.0,1.0,551
forest_13_5_18_1393_100.0,1.0,1.0,1.0,1.0,564
forest_24_7_19_1294_100.0,1.0,1.0,1.0,1.0,588
forest_17_7_15_1431_100.0,0.9972826086956522,1.0,0.9951456310679612,0.9975669099756691,605
forest_17_5_13_1436_100.0,0.9972826086956522,1.0,0.9946808510638298,0.9973333333333333,622
forest_20_3_13_1437_100.0,1.0,1.0,1.0,1.0,642
forest_17_9_10_1489_100.0,1.0,1.0,1.0,1.0,659
forest_20_10_13_1241_100.0,1.0,1.0,1.0,1.0,679
forest_24_11_11_1289_100.0,1.0,1.0,1.0,1.0,703
forest_11_10_10_1210_100.0,1.0,1.0,1.0,1.0,714
forest_28_7_11_1333_100.0,1.0,1.0,1.0,1.0,742
forest_23_3_14_1284_100.0,1.0,1.0,1.0,1.0,765
forest_27_11_10_1345_100.0,1.0,1.0,1.0,1.0,792
forest_23_4_15_1402_100.0,1.0,1.0,1.0,1.0,815
forest_29_11_17_1237_100.0,1.0,1.0,1.0,1.0,844
forest_26_4_16_1278_100.0,1.0,1.0,1.0,1.0,870
forest_27_7_17_1275_100.0,1.0,1.0,1.0,1.0,897
forest_17_5_11_1378_100.0,1.0,1.0,1.0,1.0,914
forest_28_9_15_1403_100.0,0.9972826086956522,1.0,0.9943181818181818,0.9971509971509972,942
forest_24_3_15_1262_100.0,1.0,1.0,1.0,1.0,966
forest_23_5_17_1308_100.0,0.9972826086956522,1.0,0.9947089947089947,0.9973474801061007,989
forest_13_10_10_1256_100.0,1.0,1.0,1.0,1.0,1002
forest_12_4_16_1336_100.0,1.0,1.0,1.0,1.0,1014
forest_28_11_12_1211_100.0,1.0,1.0,1.0,1.0,1042
forest_18_10_14_1396_100.0,1.0,1.0,1.0,1.0,1060
forest_10_5_15_1418_100.0,1.0,1.0,1.0,1.0,1070
forest_24_11_12_1352_100.0,1.0,1.0,1.0,1.0,1094
forest_15_10_16_1313_100.0,1.0,1.0,1.0,1.0,1109
forest_13_5_11_1403_100.0,1.0,1.0,1.0,1.0,1122
forest_29_4_18_1469_100.0,1.0,1.0,1.0,1.0,1151
forest_20_6_15_1410_100.0,1.0,1.0,1.0,1.0,1171
forest_24_8_10_1447_100.0,1.0,1.0,1.0,1.0,1195
forest_20_3_17_1209_100.0,1.0,1.0,1.0,1.0,1215
forest_25_9_15_1303_100.0,0.9972826086956522,1.0,0.9946236559139785,0.9973045822102425,1240
forest_14_3_19_1224_100.0,1.0,1.0,1.0,1.0,1254
forest_19_5_19_1304_100.0,0.9972826086956522,1.0,0.9951219512195122,0.9975550122249389,1273
forest_26_4_17_1223_100.0,1.0,1.0,1.0,1.0,1299
forest_23_11_14_1345_100.0,1.0,1.0,1.0,1.0,1322
forest_28_11_14_1245_100.0,1.0,1.0,1.0,1.0,1350
forest_12_5_15_1430_100.0,0.9972826086956522,1.0,0.994475138121547,0.9972299168975068,1362
forest_18_8_14_1473_100.0,1.0,1.0,1.0,1.0,1380
forest_16_4_17_1244_100.0,1.0,1.0,1.0,1.0,1396
forest_10_10_14_1341_100.0,1.0,1.0,1.0,1.0,1406
forest_29_3_14_1279_100.0,1.0,1.0,1.0,1.0,1435
forest_11_10_19_1214_100.0,1.0,1.0,1.0,1.0,1446
forest_13_9_10_1452_100.0,1.0,1.0,1.0,1.0,1459
forest_16_5_16_1279_100.0,1.0,1.0,1.0,1.0,1475
forest_14_4_16_1437_100.0,1.0,1.0,1.0,1.0,1489
forest_10_10_10_1499_100.0,1.0,1.0,1.0,1.0,1499
forest_27_5_16_1403_100.0,1.0,1.0,1.0,1.0,1526
forest_12_11_11_1326_100.0,0.9972826086956522,1.0,0.9948186528497409,0.9974025974025974,1538
forest_26_11_15_1231_100.0,1.0,1.0,1.0,1.0,1564
forest_26_8_17_1208_100.0,1.0,1.0,1.0,1.0,1590
forest_16_8_15_1277_100.0,1.0,1.0,1.0,1.0,1606
forest_25_6_14_1320_100.0,1.0,1.0,1.0,1.0,1631
forest_14_9_19_1222_100.0,0.9972826086956522,1.0,0.9941860465116279,0.9970845481049563,1645
forest_23_3_16_1255_100.0,1.0,1.0,1.0,1.0,1668
forest_24_10_17_1320_100.0,1.0,1.0,1.0,1.0,1692
