forest_16_4_6_1317_89.0,0.8859166011014948,0.6,[0.58333333 0.93583868],[0.5915493  0.93369913],16
forest_21_6_18_1168_90.0,0.898505114083399,0.65363128,[0.63586957 0.94296228],[0.6446281  0.94079853],37
forest_20_8_5_1420_88.0,0.8819826907946499,0.57692308,[0.58988764 0.92955169],[0.58333333 0.93125573],57
forest_29_6_12_1076_90.0,0.9047993705743509,0.67021277,[0.68108108 0.94290976],[0.67560322 0.94421392],86
forest_26_5_9_1265_90.0,0.9032258064516129,0.64117647,[0.6374269  0.94454545],[0.63929619 0.94411631],112
forest_27_8_13_1487_91.0,0.90558615263572,0.65363128,[0.66857143 0.94343066],[0.66101695 0.94515539],139
forest_13_8_17_1163_91.0,0.9071597167584579,0.67839196,[0.71428571 0.94085028],[0.69587629 0.9452182 ],152
forest_11_5_7_1222_91.0,0.9063729346970889,0.67777778,[0.66666667 0.94669118],[0.67217631 0.94538779],163
forest_13_7_10_1289_90.0,0.9032258064516129,0.67015707,[0.68085106 0.94182825],[0.67546174 0.94313454],176
forest_29_9_5_1242_92.0,0.9189614476789929,0.72316384,[0.7032967  0.95500459],[0.71309192 0.95281722],205
forest_11_6_15_1235_91.0,0.912667191188041,0.69491525,[0.68333333 0.95050412],[0.68907563 0.94919908],216
forest_17_8_15_1409_92.0,0.9150275373721479,0.71264368,[0.68131868 0.95408632],[0.69662921 0.95059469],233
forest_28_9_6_1425_91.0,0.911093627065303,0.71195652,[0.68586387 0.95092593],[0.69866667 0.94785418],261
forest_19_4_17_1480_90.0,0.9024390243902439,0.62032086,[0.68639053 0.93557169],[0.65168539 0.94327539],280
forest_15_7_12_1099_91.0,0.9134539732494099,0.68527919,[0.73770492 0.94301471],[0.71052632 0.94912118],295
forest_17_5_9_1351_90.0,0.8992918961447679,0.63917526,[0.68131868 0.93572084],[0.65957447 0.94090489],312
forest_16_9_13_1136_91.0,0.9134539732494099,0.64739884,[0.69565217 0.94504505],[0.67065868 0.95018116],328
forest_28_7_12_1391_90.0,0.9008654602675059,0.69832402,[0.63451777 0.94972067],[0.66489362 0.94182825],356
