orf,freq
YLR408C,4
YDR467C,4
YCL010C,4
YPL003W,4
YMR106C,4
YNR001C,4
YGR039W,4
YPR152C,4
YMR320W,4
YGL002W,4
YJL136W-A,4
YPR158W,4
YDL135C,4
YBR047W,4
YKL094W,4
YJL077W-B,4
YGL109W,4
YBL006W-A,4
YNL104C,4
YLR282C,4
YFL013W-A,3
YDR114C,3
YER121W,3
YDL041W,3
YOR031W,3
YOR099W,3
YHL026C,3
YMR148W,3
YGL041C-B,3
YGR153W,3
YDR066C,3
YDL182W,3
YHR071W,3
YEL040W,3
YHR087W,3
YGL161C,3
YJR120W,3
YDR154C,3
YHR049W,3
YNL202W,3
YGR019W,3
YMR316W,3
YDL124W,3
YOR062C,3
YGL007W,3
YOR302W,3
YPL080C,3
YMR145C,3
YPR160C-A,3
YLR299C-A,3
YGL191W,3
YER097W,3
YMR031W-A,3
YML053C,3
YML051W,3
YGR201C,3
YKL001C,3
YEL012W,3
YBR027C,3
YJL120W,3
YDR093W,2
YCR108C,2
YJR108W,2
YOR303W,2
YLR294C,2
YLR281C,2
YER035W,2
YGL004C,2
YKR043C,2
YHL002C-A,2
YDL137W,2
YKL218C,2
YMR175W,2
YOL126C,2
YLR437C,2
YJL161W,2
YBL109W,2
YDR410C,2
YKR061W,2
YDR357C,2
YCR049C,2
YMR318C,2
YLR437C-A,2
YMR082C,2
YJL157C,2
YOL058W,2
YOR138C,2
YER084W,2
YER092W,2
YDR426C,2
YBL015W,2
YKL148C,2
YDL222C,2
YIR001C,2
YLR213C,2
YIL057C,2
YDL023C,2
YBR076C-A,2
YPL155C,2
YGR043C,2
YMR040W,2
YKL096W,2
YGR141W,2
YNR018W,2
YEL071W,2
YBR213W,2
YPL025C,2
YGR236C,2
YHR057C,2
YJR058C,2
YNL097C-B,2
YLR364C-A,2
YJL210W,2
YJR078W,2
YPL144W,2
YGL193C,2
YJL067W,2
YHL015W-A,2
YMR230W-A,2
YOR293C-A,2
YPR050C,2
YNL241C,2
YHR173C,2
YNL066W,2
YLR080W,1
YLR001C,1
YHR139C-A,1
YIL162W,1
YMR244W,1
YEL072W,1
YMR105W-A,1
YCR060W,1
YML007C-A,1
YGR087C,1
YLR377C,1
YHR136C,1
YBR291C,1
YOL002C,1
YER034W,1
YCL025C,1
YOR134W,1
YNR001W-A,1
YDR530C,1
YKL031W,1
YOR289W,1
YHL002W,1
YDL001W,1
YFR053C,1
YPL250C,1
YHL006W-A,1
YDR102C,1
YGL118C,1
YPR146C,1
YFL046W,1
YKL109W,1
YLL028W,1
YEL001C,1
YOR050C,1
YKL066W,1
YBR219C,1
YHR032C-A,1
YLR326W,1
YJL077W-A,1
YPR051W,1
YJL118W,1
YOR003W,1
YCR105W,1
YCR043C,1
YOR277C,1
YBR116C,1
YJR129C,1
YER081W,1
YLR028C,1
YJR148W,1
YPR108W-A,1
YJL078C,1
YCR024C-B,1
YIL132C,1
YGL117W,1
YDR344C,1
YBR134W,1
YJR048W,1
YPR149W,1
YKR012C,1
YGR209C,1
YAL060W,1
YNR015W,1
YDL048C,1
YIL134C-A,1
YIL113W,1
YDL094C,1
YOR300W,1
YFL012W-A,1
YOL059W,1
YNL024C,1
YGR164W,1
YDR524C-A,1
