num_tree,num_features,n_bootstrap,max_depth,accuracy
9,6,1800,5,0.8853118712273642
9,6,1800,5,0.8832997987927566
9,6,1800,5,0.8792756539235412
9,6,1800,5,0.8531187122736419
9,6,1800,5,0.8732394366197183
9,6,1800,5,0.89738430583501
9,6,1800,5,0.8631790744466801
9,6,1800,5,0.8571428571428571
9,6,1800,5,0.869215291750503
9,6,1800,5,0.8631790744466801
9,6,1800,5,0.8712273641851107
9,6,1800,5,0.8732394366197183
9,6,1800,5,0.8712273641851107
9,6,1800,5,0.8752515090543259
9,6,1800,5,0.8752515090543259
9,6,1800,5,0.8551307847082495
9,6,1800,5,0.8651911468812877
9,6,1800,5,0.8571428571428571
9,6,1800,5,0.8450704225352113
9,6,1800,5,0.8953722334004024
9,6,1800,5,0.8893360160965795
9,6,1800,5,0.8531187122736419
9,6,1800,5,0.8511066398390342
9,6,1800,5,0.8551307847082495
9,6,1800,5,0.8591549295774648
9,6,1800,5,0.8672032193158954
9,6,1800,5,0.8490945674044266
9,6,1800,5,0.8631790744466801
9,6,1800,5,0.8551307847082495
9,6,1800,5,0.8752515090543259
9,6,1800,5,0.8350100603621731
9,6,1800,5,0.8551307847082495
9,6,1800,5,0.8450704225352113
9,6,1800,5,0.8551307847082495
9,6,1800,5,0.8410462776659959
9,6,1800,5,0.8672032193158954
9,6,1800,5,0.8531187122736419
9,6,1800,5,0.8511066398390342
9,6,1800,5,0.8551307847082495
9,6,1800,5,0.8329979879275654
9,6,1800,5,0.8752515090543259
9,6,1800,5,0.8611670020120724
9,6,1800,5,0.8631790744466801
9,6,1800,5,0.8676171079429735
9,6,1800,5,0.8778004073319755
9,6,1800,5,0.8615071283095723
9,6,1800,5,0.8492871690427699
9,6,1800,5,0.8818737270875764
9,6,1800,5,0.8839103869653768
9,6,1800,5,0.890020366598778
9,6,1800,5,0.8879837067209776
9,6,1800,5,0.8574338085539714
9,6,1800,5,0.8492871690427699
9,6,1800,5,0.8615071283095723
9,6,1800,5,0.8818737270875764
9,6,1800,5,0.8716904276985743
9,6,1800,5,0.8655804480651731
9,6,1800,5,0.869653767820774
9,6,1800,5,0.8676171079429735
9,6,1800,5,0.8716904276985743
9,6,1800,5,0.8839103869653768
9,6,1800,5,0.8757637474541752
9,6,1800,5,0.8737270875763747
9,6,1800,5,0.8513238289205702
9,6,1800,5,0.8940936863543788
9,6,1800,5,0.869653767820774
9,6,1800,5,0.8594704684317719
9,6,1800,5,0.8492871690427699
9,6,1800,5,0.8839103869653768
9,6,1800,5,0.8615071283095723
9,6,1800,5,0.8839103869653768
9,6,1800,5,0.8472505091649695
9,6,1800,5,0.9022403258655805
9,6,1800,5,0.8492871690427699
9,6,1800,5,0.8859470468431772
9,6,1800,5,0.9063136456211812
9,6,1800,5,0.8778004073319755
9,6,1800,5,0.8839103869653768
9,6,1800,5,0.9042769857433809
9,7,1400,7,0.8635437881873728
9,7,1400,7,0.8778004073319755
9,7,1400,7,0.8716904276985743
9,7,1400,7,0.8553971486761711
9,7,1400,7,0.8676171079429735
9,7,1400,7,0.8716904276985743
9,7,1400,7,0.8594704684317719
9,7,1400,7,0.8655804480651731
9,7,1400,7,0.8676171079429735
9,7,1400,7,0.8492871690427699
9,7,1400,7,0.8879837067209776
9,7,1400,7,0.869653767820774
9,7,1400,7,0.869653767820774
9,7,1400,7,0.879837067209776
9,7,1400,7,0.8615071283095723
9,7,1400,7,0.8737270875763747
9,7,1400,7,0.8818737270875764
9,7,1400,7,0.8839103869653768
9,7,1400,7,0.845213849287169
9,7,1400,7,0.8574338085539714
9,7,1400,7,0.8574338085539714
9,7,1400,7,0.8757637474541752
9,7,1400,7,0.8615071283095723
9,7,1400,7,0.8839103869653768
9,7,1400,7,0.8615071283095723
9,7,1400,7,0.8859470468431772
9,7,1400,7,0.8676171079429735
9,7,1400,7,0.8615071283095723
9,7,1400,7,0.8920570264765784
9,7,1400,7,0.8635437881873728
9,7,1400,7,0.8757637474541752
9,7,1400,7,0.869653767820774
9,7,1400,7,0.8839103869653768
9,7,1400,7,0.8757637474541752
9,7,1400,7,0.8737270875763747
9,7,1400,7,0.869653767820774
9,7,1400,7,0.8655804480651731
9,7,1400,7,0.90020366598778
9,7,1400,7,0.8655804480651731
9,7,1400,7,0.8839103869653768
9,7,1400,7,0.869653767820774
9,7,1400,7,0.8716904276985743
9,7,1400,7,0.8635437881873728
9,7,1400,7,0.8940936863543788
9,7,1400,7,0.869653767820774
9,7,1400,7,0.8716904276985743
9,7,1400,7,0.8472505091649695
9,7,1400,7,0.8981670061099797
9,7,1400,7,0.8655804480651731
9,7,1400,7,0.8716904276985743
9,7,1400,7,0.8859470468431772
9,7,1400,7,0.8533604887983707
9,7,1400,7,0.8716904276985743
9,7,1400,7,0.8574338085539714
9,7,1400,7,0.869653767820774
9,7,1400,7,0.8879837067209776
9,7,1400,7,0.8737270875763747
9,7,1400,7,0.8839103869653768
9,7,1400,7,0.8981670061099797
9,7,1400,7,0.8716904276985743
9,7,1400,7,0.8859470468431772
9,7,1400,7,0.8676171079429735
9,6,1400,15,0.8431771894093686
9,6,1400,15,0.8431771894093686
9,6,1400,15,0.845213849287169
9,6,1400,15,0.8655804480651731
9,6,1400,15,0.8513238289205702
9,6,1400,15,0.8513238289205702
9,6,1400,15,0.8737270875763747
9,6,1400,15,0.8716904276985743
9,6,1400,15,0.8533604887983707
9,6,1400,15,0.8472505091649695
9,6,1400,15,0.8289205702647657
9,6,1400,15,0.8635437881873728
9,6,1400,15,0.8594704684317719
9,6,1400,15,0.8818737270875764
9,6,1400,15,0.890020366598778
9,6,1400,15,0.8676171079429735
9,6,1400,15,0.8757637474541752
9,6,1400,15,0.835030549898167
9,6,1400,15,0.8553971486761711
9,6,1400,15,0.879837067209776
9,6,1400,15,0.8492871690427699
9,6,1400,15,0.8818737270875764
9,6,1400,15,0.8757637474541752
9,6,1400,15,0.8737270875763747
9,6,1400,15,0.8676171079429735
9,6,1400,15,0.879837067209776
9,6,1400,15,0.8879837067209776
9,6,1400,15,0.8859470468431772
9,6,1400,15,0.8635437881873728
9,6,1400,15,0.869653767820774
9,6,1400,15,0.8635437881873728
9,6,1400,15,0.8594704684317719
9,6,1400,15,0.8492871690427699
9,6,1400,15,0.8553971486761711
9,6,1400,15,0.8676171079429735
9,6,1400,15,0.8655804480651731
9,6,1400,15,0.8778004073319755
9,6,1400,15,0.8737270875763747
9,6,1400,15,0.8431771894093686
9,6,1400,15,0.8778004073319755
9,6,1400,15,0.8492871690427699
9,6,1400,15,0.8737270875763747
9,6,1400,15,0.8513238289205702
9,6,1400,15,0.8635437881873728
9,6,1400,15,0.869653767820774
9,7,1600,15,0.8818737270875764
9,7,1600,15,0.8533604887983707
9,7,1600,15,0.8594704684317719
9,7,1600,15,0.8574338085539714
9,7,1600,15,0.869653767820774
9,7,1600,15,0.8533604887983707
9,7,1600,15,0.8716904276985743
9,7,1600,15,0.8574338085539714
9,7,1600,15,0.8879837067209776
9,7,1600,15,0.8553971486761711
9,7,1600,15,0.8778004073319755
9,7,1600,15,0.8553971486761711
9,7,1600,15,0.8574338085539714
9,7,1600,15,0.8513238289205702
9,7,1600,15,0.8676171079429735
9,7,1600,15,0.8635437881873728
9,7,1600,15,0.8533604887983707
9,7,1600,15,0.8879837067209776
9,7,1600,15,0.8492871690427699
9,7,1600,15,0.8635437881873728
9,7,1600,15,0.869653767820774
9,7,1600,15,0.845213849287169
9,7,1600,15,0.8655804480651731
9,7,1600,15,0.8757637474541752
9,7,1600,15,0.8472505091649695
9,7,1600,15,0.879837067209776
9,7,1600,15,0.845213849287169
9,7,1600,15,0.8615071283095723
9,7,1600,15,0.8676171079429735
9,7,1600,15,0.8431771894093686
9,7,1600,15,0.8472505091649695
9,7,1600,15,0.8594704684317719
9,7,1600,15,0.8655804480651731
9,7,1600,15,0.8737270875763747
9,7,1600,15,0.8553971486761711
9,7,1600,15,0.8778004073319755
9,7,1600,15,0.8655804480651731
9,7,1600,15,0.8635437881873728
9,7,1600,15,0.8859470468431772
9,7,1600,15,0.8472505091649695
9,7,1600,15,0.869653767820774
9,7,1600,15,0.8778004073319755
9,7,1600,15,0.8533604887983707
9,7,1600,15,0.8492871690427699
9,7,1600,15,0.879837067209776
9,7,1600,15,0.8615071283095723
9,7,1600,15,0.8716904276985743
9,7,1600,15,0.8492871690427699
9,7,1600,15,0.8961303462321792
9,7,1600,15,0.8615071283095723
9,7,1600,15,0.8635437881873728
9,7,1600,15,0.8655804480651731
9,7,1600,15,0.8757637474541752
9,6,1400,10,0.8513238289205702
9,6,1400,10,0.8472505091649695
9,6,1400,10,0.8818737270875764
9,6,1400,10,0.8553971486761711
9,6,1400,10,0.8737270875763747
9,6,1400,10,0.869653767820774
9,6,1400,10,0.879837067209776
9,6,1400,10,0.8655804480651731
9,6,1400,10,0.8676171079429735
9,6,1400,10,0.8635437881873728
9,6,1400,10,0.8635437881873728
9,6,1400,10,0.869653767820774
9,6,1400,10,0.8778004073319755
9,6,1400,10,0.8716904276985743
9,6,1400,10,0.8676171079429735
9,6,1400,10,0.8716904276985743
9,6,1400,10,0.869653767820774
9,6,1400,10,0.8594704684317719
9,6,1400,10,0.8737270875763747
9,6,1400,10,0.869653767820774
9,6,1400,10,0.8635437881873728
9,6,1400,10,0.8818737270875764
9,6,1400,10,0.8594704684317719
9,6,1400,10,0.8492871690427699
9,6,1400,10,0.869653767820774
9,6,1400,10,0.8594704684317719
9,6,1400,10,0.8574338085539714
9,6,1400,10,0.8757637474541752
9,6,1400,10,0.8737270875763747
9,6,1400,10,0.8574338085539714
9,6,1400,10,0.8594704684317719
9,6,1400,10,0.8635437881873728
