tree,n_features,n_data,n_depth,acc
5,7,1006,18,0.8591549295774648
15,7,1326,5,0.8591549295774648
11,6,1147,15,0.8792756539235412
17,6,1536,5,0.8832997987927566
24,6,1454,3,0.8732394366197183
16,7,1590,3,0.8712273641851107
22,5,1589,5,0.8853118712273642
17,7,1369,10,0.8812877263581489
3,7,1551,11,0.9074446680080482
10,4,1009,6,0.8853118712273642
22,5,1390,16,0.8591549295774648
4,4,1371,10,0.8792756539235412
28,4,1759,5,0.8672032193158954
19,6,1712,13,0.8772635814889336
7,6,1771,19,0.8571428571428571
12,6,1271,10,0.9235412474849095
12,4,1417,5,0.8772635814889336
13,4,1015,6,0.8993963782696177
24,7,1356,13,0.9114688128772636
29,4,1190,15,0.8933601609657947
11,6,1214,9,0.8712273641851107
7,7,1533,13,0.9094567404426559
25,7,1192,17,0.8812877263581489
29,7,1739,14,0.9054325955734407
15,6,1621,7,0.9114688128772636
19,4,1081,13,0.8853118712273642
13,4,1655,6,0.8591549295774648
14,5,1227,8,0.8792756539235412
8,7,1223,17,0.9054325955734407
17,7,1659,4,0.8571428571428571
13,7,1572,17,0.8893360160965795
4,6,1315,18,0.9175050301810865
16,7,1459,17,0.89738430583501
14,4,1100,16,0.8893360160965795
8,4,1642,10,0.8873239436619719
27,6,1471,10,0.8511066398390342
11,7,1450,11,0.8792756539235412
14,5,1238,11,0.9094567404426559
24,5,1047,5,0.89738430583501
15,5,1253,7,0.8993963782696177
11,6,1170,7,0.8913480885311871
15,7,1771,14,0.8732394366197183
16,7,1522,5,0.8913480885311871
4,4,1278,14,0.9235412474849095
20,6,1732,19,0.89738430583501
27,6,1795,13,0.8832997987927566
15,6,1621,14,0.89738430583501
7,5,1463,10,0.8853118712273642
18,5,1564,18,0.9054325955734407
21,5,1036,4,0.89738430583501
5,5,1078,16,0.8672032193158954
18,7,1039,12,0.8732394366197183
11,4,1229,12,0.8772635814889336
21,5,1024,8,0.8631790744466801
22,6,1708,19,0.8631790744466801
29,5,1009,14,0.8551307847082495
5,5,1644,5,0.903420523138833
11,7,1212,7,0.8873239436619719
4,5,1666,17,0.8752515090543259
17,7,1213,8,0.89738430583501
12,4,1016,5,0.8832997987927566
26,4,1635,11,0.903420523138833
11,7,1715,8,0.9134808853118712
19,7,1561,19,0.8933601609657947
29,6,1725,11,0.8792756539235412
16,5,1225,8,0.8993963782696177
21,5,1216,19,0.89738430583501
21,4,1004,5,0.9114688128772636
20,7,1370,18,0.9074446680080482
19,5,1553,7,0.9255533199195171
15,4,1485,12,0.8933601609657947
19,7,1144,11,0.9074446680080482
9,6,1448,7,0.8913480885311871
17,7,1627,6,0.8853118712273642
21,4,1412,9,0.8792756539235412
27,4,1442,4,0.9094567404426559
17,6,1674,4,0.9054325955734407
27,6,1632,4,0.9175050301810865
10,4,1731,15,0.869215291750503
20,5,1129,10,0.8832997987927566
3,6,1190,19,0.8611670020120724
3,7,1241,16,0.8269617706237424
5,4,1035,5,0.8631790744466801
5,6,1347,9,0.8611670020120724
5,5,1185,9,0.8651911468812877
6,6,1575,4,0.8712273641851107
12,5,1006,19,0.8490945674044266
17,5,1020,11,0.869215291750503
11,7,1321,18,0.8752515090543259
13,7,1550,5,0.8631790744466801
13,5,1643,13,0.8591549295774648
22,5,1210,10,0.8531187122736419
11,5,1304,5,0.8672032193158954
24,6,1092,9,0.8832997987927566
18,5,1408,18,0.8329979879275654
25,4,1173,15,0.8651911468812877
15,7,1633,18,0.8611670020120724
19,7,1251,8,0.8631790744466801
8,6,1003,5,0.9094567404426559
7,7,1149,18,0.9114688128772636
14,5,1659,17,0.8752515090543259
21,4,1519,10,0.8531187122736419
12,7,1509,10,0.8853118712273642
23,5,1458,14,0.8631790744466801
20,6,1344,10,0.8631790744466801
23,6,1491,10,0.8651911468812877
20,4,1413,19,0.8551307847082495
25,7,1577,6,0.8853118712273642
19,6,1132,4,0.9014084507042254
24,4,1219,4,0.8792756539235412
17,4,1788,13,0.8812877263581489
29,7,1087,13,0.8893360160965795
8,6,1603,8,0.8853118712273642
27,7,1411,4,0.9114688128772636
7,7,1780,12,0.9014084507042254
11,5,1312,13,0.8893360160965795
29,5,1183,3,0.8832997987927566
14,6,1389,4,0.8873239436619719
15,6,1058,15,0.903420523138833
20,5,1207,10,0.8893360160965795
17,4,1105,10,0.8953722334004024
17,6,1763,18,0.8913480885311871
5,7,1483,7,0.8611670020120724
10,6,1559,3,0.8712273641851107
5,6,1013,6,0.8893360160965795
23,6,1717,14,0.869215291750503
20,7,1762,17,0.8913480885311871
7,5,1728,4,0.9054325955734407
13,4,1066,18,0.9134808853118712
28,4,1449,11,0.8772635814889336
17,4,1540,5,0.903420523138833
26,4,1362,19,0.8732394366197183
10,6,1262,17,0.869215291750503
21,6,1660,11,0.903420523138833
7,7,1413,18,0.9014084507042254
25,7,1339,11,0.8631790744466801
23,6,1419,18,0.903420523138833
19,6,1080,16,0.8812877263581489
26,4,1678,11,0.8792756539235412
23,7,1272,8,0.8651911468812877
8,4,1706,8,0.903420523138833
13,7,1044,15,0.8712273641851107
16,4,1541,16,0.9014084507042254
17,7,1794,14,0.89738430583501
10,5,1550,18,0.8913480885311871
15,5,1095,9,0.8772635814889336
14,5,1542,13,0.8913480885311871
15,5,1760,12,0.8853118712273642
3,5,1296,18,0.903420523138833
15,6,1455,14,0.8913480885311871
25,4,1257,6,0.8853118712273642
10,6,1114,18,0.8792756539235412
8,5,1682,9,0.8873239436619719
10,4,1165,14,0.9054325955734407
18,5,1539,5,0.8873239436619719
8,6,1418,9,0.903420523138833
23,7,1275,17,0.89738430583501
29,5,1273,12,0.9054325955734407
5,5,1066,13,0.9134808853118712
23,7,1112,10,0.9054325955734407
26,6,1299,9,0.8933601609657947
17,4,1784,15,0.8832997987927566
20,5,1206,3,0.9014084507042254
23,5,1045,10,0.9014084507042254
19,6,1366,10,0.8812877263581489
23,7,1431,9,0.9114688128772636
29,7,1304,12,0.903420523138833
18,5,1033,14,0.9154929577464789
27,5,1447,3,0.9014084507042254
23,4,1769,13,0.89738430583501
22,6,1341,10,0.9074446680080482
9,4,1535,18,0.8752515090543259
14,7,1381,17,0.8732394366197183
17,5,1498,18,0.9215291750503019
14,6,1006,10,0.8853118712273642
28,4,1553,17,0.8893360160965795
21,4,1495,8,0.89738430583501
27,6,1609,11,0.8953722334004024
26,7,1454,16,0.8913480885311871
25,5,1175,17,0.8953722334004024
29,7,1218,8,0.8993963782696177
27,6,1148,8,0.9014084507042254
28,7,1631,8,0.8812877263581489
15,4,1578,3,0.9154929577464789
18,6,1779,4,0.9074446680080482
19,5,7,1253,0.8712273641851107
5,6,13,1427,0.8551307847082495
13,7,14,1062,0.8732394366197183
24,5,14,1322,0.8672032193158954
18,6,14,1123,0.8812877263581489
5,5,7,1545,0.8832997987927566
14,7,3,1245,0.8752515090543259
27,4,14,1562,0.8873239436619719
9,4,17,1070,0.8672032193158954
27,4,18,1792,0.8953722334004024
7,5,11,1675,0.9074446680080482
8,7,6,1478,0.8873239436619719
13,6,17,1596,0.9074446680080482
18,7,17,1160,0.8712273641851107
22,7,4,1293,0.89738430583501
23,7,15,1695,0.8792756539235412
22,4,4,1144,0.9074446680080482
15,4,11,1140,0.9014084507042254
29,5,14,1713,0.903420523138833
20,6,9,1340,0.8832997987927566
21,5,10,1774,0.8812877263581489
23,4,8,1752,0.9114688128772636
28,6,15,1283,0.89738430583501
10,5,17,1761,0.9054325955734407
22,4,6,1390,0.8993963782696177
21,5,12,1665,0.9094567404426559
