hits_count,reads_count,hits_count_pro,ratio_hits_prom,orf_len,insertion_index,NI,NI_ratio,HFI_normalized,orf,label
-0.8453936581702434,-0.4511411472389801,0,1.125,-0.8885240323962846,0.0027624309392265192,0.13304928676218122,6.321428571428571,159,YAL068C,non_ess
0.19615639278121771,0.14342795461785984,3,0.7647058823529411,0.4011761459174296,0.010668163952835484,0.6468946331071229,2.119398496240602,323,YAL067C,non_ess
-0.38248252441403846,-0.2945229447986418,3,0.7142857142857143,-0.9376035317824302,0.02922077922077922,1.9037456445993033,0.4632768361581921,72,YAL066W,non_ess
-0.7296658747311922,-0.43083878766338063,1,0.0,-0.8667109215579977,0.007772020725388602,0.5500563189907637,3.5076252723311536,171,YAL065C,non_ess
-0.7296658747311922,-0.4250381134989237,2,0.5,-0.8721641992675694,0.007894736842105262,0.5519986675549634,1.0326797385620914,204,YAL064C-A,non_ess
3.9573093545503832,3.3657024529737094,20,0.6470588235294118,0.03035326166655193,0.06117989803350327,1.6050726189966156,1.0182575272261372,76,YAL062W,non_ess
1.9899370360865118,1.866228181461581,0,0.5490196078431373,-0.07871229252488267,0.039904229848363934,0.8941397788165546,1.4259259259259256,112,YAL061W,non_ess
1.0062508768545764,0.24784008957808537,1,0.8125,-0.17414465244238794,0.02874564459930314,0.5562830167472181,1.5406060606060603,84,YAL060W,non_ess
-0.2667547409749872,-0.15240642776944588,5,1.3333333333333333,-0.637673257755985,0.017241379310344827,0.33365355445444433,1.0145454545454544,169,YAL059W,non_ess
0.9483869851350506,0.48566773032082133,1,1.0714285714285714,0.15305201013191586,0.021220159151193636,0.4019040005813742,1.6406250000000002,108,YAL058W,non_ess
-0.2667547409749872,-0.2597188998118999,11,1.0769230769230769,-0.8994305878154281,0.03142857142857143,0.5569791240278347,0.6823069403714564,133,YAL056C-A,non_ess
2.742167628440345,1.2368550346179994,8,0.6956521739130435,1.1837214972409729,0.02384557153671461,0.4070678928013115,1.162773854789064,130,YAL056W,non_ess
-0.035299174096884746,0.04191615673986278,3,0.6666666666666666,-0.7249257011091327,0.027675276752767528,0.40507568340989536,1.123456790123457,178,YAL055W,non_ess
1.9899370360865118,0.8598112139282961,3,0.8085106382978723,0.7283728084917334,0.023353573096683792,0.34423534517316584,1.597319587628866,150,YAL054C,non_ess
1.5270259023303068,0.6538872810900735,1,0.875,0.919237528326744,0.01786473840918758,0.3032203180527161,1.0452528837622004,277,YAL053W,non_ess
1.4691620106107812,0.6828906519123584,9,0.8333333333333334,1.6390701859902124,0.013044861597200128,0.20255955140017864,1.423667570009033,321,YAL051W,non_ess
-0.44034641613356407,-0.24811755148298595,3,0.38461538461538464,-0.5449675366932656,0.010810810810810813,0.17578256222324018,2.039893617021277,181,YAL049C,non_ess
1.179842552013153,0.23043806708471445,5,2.5,0.5893142268976543,0.018108651911468814,0.27212186160440904,1.415915915915916,547,YAL048C,non_ess
-0.4982103078530897,-0.33802800103206904,3,1.6666666666666667,0.4802486727062197,0.003747323340471092,0.05731531049250535,2.72975432211101,945,YAL047C,non_ess
-0.6139380912921409,-0.3670313718543539,10,1.6666666666666667,-0.8939773101058563,0.01404494382022472,0.2575299782834482,1.772340425531915,154,YAL046C,non_ess
-0.7296658747311922,-0.4192374393344667,2,2.75,-0.9376035317824302,0.00974025974025974,0.2011895667357852,2.4285714285714284,56,YAL045C,non_ess
-0.38248252441403846,-0.34092833811429757,8,0.8666666666666667,-0.7521920896569914,0.017578125,0.3348418445121951,2.1578947368421053,108,YAL044C,non_ess
-0.2667547409749872,-0.33802800103206904,0,1.1176470588235294,0.9246908060363157,0.004666949512091642,0.07071275646868888,5.338266384778011,931,YAL043C,ess
-0.32461863269451285,-0.21331350649624412,2,2.2,-0.8748908381223552,0.026525198938992044,0.4447074884006256,1.437458193979933,65,YAL042C-A,non_ess
0.6012036348178971,0.05351750506877673,3,3.2,-0.08416557023445441,0.020850040096230957,0.3616497182815304,1.4514439049322767,160,YAL042W,non_ess
-0.32461863269451285,-0.3119249672920127,0,1.0,1.1128288870165404,0.0039001560062402493,0.07320970258165166,1.9185667752442996,2246,YAL041W,ess
-0.2667547409749872,-0.10600103445379007,0,3.5,0.36572984080521337,0.006314580941446614,0.1225843487278249,1.5504560164754335,545,YAL040C,non_ess
4.188764921428485,3.7282445882522706,9,1.0303030303030305,-0.4822548430331907,0.10877626699629173,2.161285537700865,0.6672597864768685,51,YAL039C,non_ess
-0.5560741995726153,-0.4134367651700097,0,25.0,0.14759873242234414,0.0039946737683089215,0.08260082901646089,5.4603174603174605,399,YAL038W,ess
-0.15102695753593598,-0.2771209223052708,0,0.6666666666666666,-0.48770812074276243,0.0161892901618929,0.34550178211019017,1.3894064413095557,219,YAL037W,non_ess
0.2540202845007433,0.6364852585967027,0,3.0,-0.2095909575546042,0.018034265103697024,0.38487609216131335,0.7024221453287198,351,YAL036C,non_ess
-0.4982103078530897,-0.4221377764166952,0,1.0,1.5163714375248485,0.002327127659574468,0.04936549499159172,4.557664926435691,1668,YAL035W,non_ess
-0.5560741995726153,-0.2104131694140156,2,0.0,-0.8967039489606422,0.0169971671388102,0.40283286118980177,2.8125,143,YAL034C-B,ess
-0.6718019830116665,-0.3757323831010394,0,2.2,-0.4277220659374734,0.004602991944764097,0.11235057889669099,1.8755980861244024,423,YAL034W-A,ess
0.19615639278121771,-0.1872104727561877,10,0.8125,-0.08961884794402614,0.015310233682514104,0.5425832348046119,0.9755491089929548,109,YAL034C,non_ess
-0.903257549889769,-0.45694182140343703,2,0.5,-0.7440121730926338,0.0,0.0,0.0,443,YAL033W,ess
0.08042860934216649,-0.24811755148298595,0,0.38461538461538464,-0.18232456900674554,0.01492537313432836,0.5490878938640132,1.3897058823529411,356,YAL032C,ess
-0.15102695753593598,-0.14370541652276042,1,1.9090909090909087,0.8565248346666691,0.0056967572304995615,0.20034740187744848,1.6370808678500988,447,YAL031C,non_ess
-0.6718019830116665,-0.3322273268676121,5,2.0,-0.7940005520970413,0.008583690987124462,0.2737745651682855,2.9857142857142858,127,YAL030W,non_ess
2.105664819525563,0.9468213263951507,3,0.3333333333333333,2.795165060419419,0.011778029445073612,0.4462417448178452,0.7585227272727273,388,YAL029C,non_ess
-0.2667547409749872,-0.12630339402938948,3,0.0,0.22394462035634835,0.006935687263556117,0.3133903133903134,1.7999999999999998,383,YAL028W,non_ess
0.02256471762264087,0.1956340220979726,1,1.0,-0.5040679538714776,0.02038216560509554,0.926738040384876,0.8063725490196079,300,YAL027W,non_ess
-0.44034641613356407,-0.25101788856521445,0,2.5,2.478874953264259,0.0019670518809933608,0.06952678438622215,3.2906249999999995,1010,YAL026C,non_ess
-0.903257549889769,-0.45694182140343703,1,0.625,-0.3813692054061137,0.0,0.0,0.0,910,YAL025C,ess
0.2540202845007433,-0.14080507944053192,0,1.0625,2.697006061647128,0.004643603436266543,0.16183451975754462,1.85679012345679,534,YAL024C,non_ess
1.2955703354522043,0.34355121329162547,0,0.8333333333333334,0.8537981958118832,0.016673979815708645,0.5081774302923929,1.0327169274537693,323,YAL023C,non_ess
-0.09316306581641037,-0.20171215816733015,7,0.6666666666666666,0.19395159295370384,0.00901481004507405,0.2928946455990886,2.1848739495798317,216,YAL022C,non_ess
-0.15102695753593598,-0.25101788856521445,1,0.875,1.0664760264851807,0.005173099880620772,0.14748507759649826,4.512820512820512,1208,YAL021C,non_ess
0.2540202845007433,0.08832155005551857,7,1.0,-0.30774995632689534,0.01998001998001998,0.5572688181383834,1.5972222222222223,152,YAL020C,non_ess
0.3697480679397946,-0.19011080983841622,2,0.8125,1.868107849792225,0.006480117820324006,0.1704901794674626,1.5005107252298262,1002,YAL019W,non_ess
-0.32461863269451285,-0.20171215816733015,0,0.5625,-0.32956306716518224,0.010235414534288641,0.2664050949619015,1.1172413793103446,252,YAL018C,non_ess
3.2629426539160753,0.9584226747240647,0,0.7272727272727273,2.481601592119045,0.01769041769041769,0.5230355569978211,0.7521135265700485,341,YAL017W,non_ess
-0.7875297664507178,-0.44534047307452307,0,1.5,0.5156949778184359,0.001048767697954903,0.036908555524182166,6.760000000000002,1118,YAL016W,non_ess
0.08042860934216649,-0.19881182108510168,10,3.0,-0.12779179191102824,0.014178482068390326,0.4867408446432634,1.685362517099863,164,YAL015C,non_ess
-0.44034641613356407,-0.34382867519652605,3,1.4,-0.5204277870001929,0.010430247718383313,0.3266081806731045,1.4486607142857144,173,YAL014C,non_ess
-0.8453936581702434,-0.4482408101567516,1,1.4166666666666667,-0.11143195878231306,0.0008216926869350862,0.019806322496735914,9.118881118881117,853,YAL013W,non_ess
-0.44034641613356407,-0.32642665270315513,0,3.25,-0.14142498618495758,0.006756756756756757,0.14019347216068528,2.929115853658536,399,YAL012W,non_ess
-0.15102695753593598,-0.3467290122787545,12,1.1666666666666667,0.48842858927057725,0.0069259456579648365,0.15173508965637938,1.1315892229597817,722,YAL011W,non_ess
-0.7875297664507178,-0.4424401359922946,1,0.8,0.1285122604388431,0.001350438892640108,0.02958570230977241,7.3553299492385795,1075,YAL010C,non_ess
-0.7296658747311922,-0.40763609100555276,2,1.0,-0.5095212315810493,0.003851091142490373,0.08162014063188551,1.4331550802139037,380,YAL009W,non_ess
-0.5560741995726153,-0.3293269897853836,2,0.0,-0.6758462017229871,0.010067114093959731,0.21279619230242436,1.985267034990792,161,YAL008W,non_ess
-0.4982103078530897,-0.4047357539233243,6,1.0,-0.6294933411916275,0.010819165378670788,0.2275270479134467,1.5527950310559009,211,YAL007C,non_ess
1.1219786602936275,0.5987808765277324,7,0.7931034482758621,0.534781449801937,0.01815352697095436,0.3788966911373551,0.979591836734694,794,YAL005C,non_ess
-0.035299174096884746,0.11442458379557496,1,3.0,-0.6294933411916275,0.023183925811437404,0.4603839583502807,0.7450980392156863,250,YAL004W,non_ess
-0.8453936581702434,-0.45404148432120855,0,1.2,-0.3213831506008247,0.0010141987829614604,0.021628035211406292,8.81283422459893,986,YAL003W,ess
1.642753685769358,5.996308186554947,2,1.0,2.258017206026604,0.011506276150627616,0.2462250303684708,1.8098415346121768,555,YAL002W,non_ess
-0.2088908492554616,-0.11180170861824705,1,0.55,2.028979542224591,0.0033594624860022394,0.08161442260841319,10.629385964912279,728,YAL001C,ess
1.7006175774888836,0.9120172814084089,7,1.0909090909090908,0.25393764775899286,0.027794935145151328,1.4664939662404468,1.2448087431693988,149,YAR002W,non_ess
-0.2667547409749872,0.05641784215100521,10,1.0833333333333333,-0.6185867857724839,0.016691957511380882,1.1084362055530492,2.018181818181818,150,YAR002C-A,non_ess
2.742167628440345,2.2954780696313972,2,1.25,-0.05417254283180989,0.04921875,3.516975,1.0127314814814816,94,YAR003W,non_ess
-0.903257549889769,-0.45694182140343703,0,4.5,0.4775220338514338,0.0,0.0,0.0,1241,YAR007C,ess
-0.5560741995726153,-0.4192374393344667,0,0.0,-0.4658950099044755,0.007255139056831924,0.4952640064490125,2.4,301,YAR008W,ess
-0.15102695753593598,-0.3003236189630987,0,1.9,0.7174662530725899,0.006106153123532175,0.5218991021163912,2.1590612777053457,400,YAR014C,non_ess
-0.7875297664507178,-0.4395397989100661,0,2.1,-0.3813692054061137,0.002173913043478261,0.1471691352126135,5.5151515151515165,537,YAR015W,non_ess
-0.4982103078530897,-0.34092833811429757,3,0.6785714285714286,-0.0296327931387371,0.005355776587605203,0.30698656545373754,3.933996383363472,375,YAR018C,non_ess
0.02256471762264087,-0.2104131694140156,0,1.2,1.4400255495908443,0.005471956224350204,0.2490913934074666,2.164285714285714,924,YAR019C,ess
-0.8453936581702434,-0.45404148432120855,0,0.6,-1.0657555579573659,0.00598802395209581,0.20480272332048235,2.8768472906403937,92,YAR020C,non_ess
0.02256471762264087,-0.007389573658021507,1,0.5,-0.7276523399639185,0.029684601113172542,1.0199777830767531,0.7974999999999999,239,YAR023C,non_ess
