21,4,5,1557,0.9003021148036254
19,6,16,1409,0.8912386706948641
27,6,13,1230,0.8836858006042296
22,5,6,1565,0.8912386706948641
3,5,9,1195,0.904833836858006
27,6,14,1535,0.8912386706948641
9,4,6,1707,0.8670694864048338
20,4,17,1303,0.8700906344410876
18,5,11,1201,0.8806646525679759
3,4,14,1314,0.8897280966767371
25,6,11,1084,0.9093655589123867
10,4,16,1388,0.8987915407854985
16,6,15,1219,0.8957703927492447
3,6,7,1103,0.8957703927492447
26,5,14,1569,0.8972809667673716
22,6,9,1623,0.8957703927492447
15,5,9,1160,0.8806646525679759
19,5,15,1639,0.9018126888217523
15,4,5,1399,0.8882175226586103
9,6,12,1346,0.8897280966767371
13,4,7,1083,0.8912386706948641
20,6,10,1428,0.8806646525679759
20,5,14,1056,0.8882175226586103
29,5,17,1275,0.8897280966767371
11,6,11,1057,0.8942598187311178
8,4,10,1072,0.9078549848942599
14,4,3,1179,0.7887323943661971
11,5,7,1084,0.778672032193159
7,6,18,1462,0.7665995975855131
25,5,3,1178,0.7847082494969819
5,6,18,1115,0.7947686116700201
18,5,11,1256,0.7746478873239436
3,6,10,1221,0.7907444668008048
15,4,15,1645,0.7867203219315896
19,4,11,1732,0.7927565392354124
18,4,18,1781,0.7847082494969819
25,6,12,1149,0.7464788732394366
19,6,6,1466,0.7847082494969819
16,4,13,1728,0.7967806841046278
12,5,8,1510,0.7847082494969819
25,6,9,1056,0.8148893360160966
17,5,15,1164,0.7826961770623743
18,6,4,1243,0.8289738430583501
16,5,13,1581,0.7927565392354124
17,5,4,1751,0.7967806841046278
13,5,3,1280,0.7826961770623743
24,4,16,1317,0.7887323943661971
7,5,6,1521,0.7947686116700201
8,4,16,1572,0.7927565392354124
19,4,16,1374,0.7987927565392354
10,6,3,1524,0.7847082494969819
21,6,13,1341,0.7987927565392354
12,6,14,1318,0.8048289738430584
15,6,9,1271,0.778672032193159
8,6,9,1078,0.7927565392354124
10,4,5,1141,0.7766599597585513
8,4,10,1125,0.7947686116700201
3,4,17,1384,0.8148893360160966
26,4,4,1396,0.8189134808853119
26,6,12,1669,0.7947686116700201
28,5,14,1249,0.7947686116700201
14,6,8,1199,0.8169014084507042
27,4,10,1727,0.8028169014084507
4,6,15,1004,0.7806841046277666
