orf,mean_recall
FY,0.98815832463403
CHM,0.8302752293577982
BBQ,0.7353491855457779
ACP,0.7132247394370594
AND,0.70865318604506
CIB,0.6613773949946957
CPG,0.6424826811458522
BMK,0.6147569119390872
ACN,0.6006833926231043
CLG,0.5700711477251457
CNT,0.5665293640391936
ADD,0.539583723397616
APH,0.5389908256880722
ACF,0.5365256194220802
CCD,0.5102976970604751
Sigma,0.49488235661236946
BHH,0.4771578356113084
CGQ,0.43982088248143286
CNM,0.36421082194345644
ABP,0.34916994320664074
AVI,0.3449416463833238
