strain,qtt
FY,918
ABP,1063
ACF,1113
ACP,1160
ADD,1108
AND,1165
APH,1090
AVI,1124
BBQ,1253
BHH,1087
BMK,1103
CCD,994
CGQ,1004
CHM,1259
CIB,1262
CLG,1046
CNM,1141
CNT,1248
CPG,1169
Sigma,1136
