CHM,1775
BBQ,1394
AND,1306
CIB,1279
ACP,1230
FY,1223
BMK,1199
CNT,1174
ACF,1100
ACN,1094
CPG,1083
ADD,1013
APH,963
CLG,919
BHH,913
Sigma,911
CCD,907
AVI,853
CGQ,838
ABP,751
CNM,708
