strain,qtt
FY,633
ABP,340
ACF,548
ACN,490
ACP,652
ADD,472
AND,621
APH,440
AVI,392
BBQ,650
BHH,388
BMK,586
CCD,447
CGQ,366
CHM,812
CIB,591
CLG,452
CNM,262
CNT,526
CPG,563
Sigma,376
