orf,label_FY,predictions_ABP,predictions_ACF,predictions_ACN,predictions_ACP,predictions_ADD,predictions_AND,predictions_APH,predictions_AVI,predictions_BBQ,predictions_BHH,predictions_BMK,predictions_CCD,predictions_CGQ,predictions_CHM,predictions_CIB,predictions_CLG,predictions_CNM,predictions_CNT,predictions_CPG,predictions_Sigma
YDR412W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YDR416W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YDR427W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YDR429C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YDR434W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YDR449C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YDR454C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YDR460W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YDR464W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YDR468C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YDR472W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YDR478W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YDR487C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YDR489W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YDR498C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YDR499W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YDR527W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YEL058W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YEL055C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YEL034W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YEL032W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YEL026W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YEL019C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YEL002C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YER003C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YER006W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YER009W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YER012W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YER013W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YER018C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YER021W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YER022W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YER023W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YER025W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YER043C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YER048W-A,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YER082C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YER093C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YER094C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YER112W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YER125W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YER126C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YER127W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YER133W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YER136W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YER146W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YER147C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YER148W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YER157W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YER159C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YER165W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YER171W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YER172C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YFL045C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YFL039C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YFL038C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YFL037W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YFL024C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YFL017W-A,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YFL017C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YFL008W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YFL005W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YFL002C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YFR002W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YFR004W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YFR027W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YFR028C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YFR042W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YFR050C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YFR051C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YFR052W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGL247W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGL245W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGL238W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGL233W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGL225W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGL207W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGL201C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGL172W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGL171W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGL169W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGL155W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGL150C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGL142C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGL137W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGL130W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGL128C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGL123W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGL122C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGL116W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGL113W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGL111W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGL103W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGL099W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGL097W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGL093W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGL092W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGL091C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGL075C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGL068W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGL065C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGL061C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGL048C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGL047W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGL044C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGL040C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGL030W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGL018C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGL011C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGL008C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGL001C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGR005C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGR009C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGR013W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGR024C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGR030C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGR046W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGR047C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGR048W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGR060W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGR065C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGR074W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGR075C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGR082W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGR083C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGR090W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGR091W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGR094W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGR095C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGR099W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGR103W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGR113W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGR116W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGR119C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGR120C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGR128C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGR140W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGR145W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGR156W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGR158C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGR172C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGR179C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGR185C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGR186W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGR191W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGR198W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGR211W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGR218W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGR245C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGR246C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGR251W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGR253C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGR264C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGR267C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGR277C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YGR278W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YHL015W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YHR005C-A,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YHR019C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YHR020W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YHR024C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YHR036W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YHR040W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YHR042W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YHR058C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YHR065C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YHR068W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YHR069C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YHR070W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YHR072W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YHR074W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YHR083W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YHR085W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YHR088W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YHR101C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YHR107C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YHR118C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YHR122W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YHR143W-A,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YHR148W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YHR164C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YHR166C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YHR170W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YHR172W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YHR186C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YHR188C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YHR190W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YHR196W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YHR197W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YIL150C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YIL147C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YIL144W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YIL142W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YIL129C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YIL118W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YIL115C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YIL109C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YIL106W,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YIL104C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
YIL091C,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess,ess
