5,5,18,1552,0.853448275862069
11,6,6,1075,0.8689655172413793
24,5,4,1028,0.8603448275862069
6,6,7,1570,0.8603448275862069
24,4,15,1031,0.8672413793103448
11,6,16,1641,0.846551724137931
5,6,11,2831,0.8413793103448276
12,4,12,2540,0.846551724137931
14,4,14,2113,0.846551724137931
25,6,7,1457,0.8586206896551725
13,5,9,2812,0.8310344827586207
20,6,8,2409,0.8637931034482759
26,5,16,2478,0.8344827586206897
29,6,16,2086,0.8482758620689655
12,4,4,1330,0.8810344827586207
6,5,7,2033,0.8603448275862069
9,6,10,1398,0.8482758620689655
8,4,9,2606,0.8413793103448276
18,5,12,1175,0.8551724137931035
12,6,6,1582,0.8551724137931035
21,5,14,1052,0.8448275862068966
11,5,17,2066,0.8637931034482759
22,5,18,1402,0.8637931034482759
23,4,10,1793,0.8396551724137931
18,5,7,2059,0.8637931034482759
14,4,18,2615,0.85
23,4,4,2561,0.8568965517241379
15,6,19,2261,0.8517241379310345
18,6,5,2418,0.8724137931034482
29,6,13,2164,0.8120689655172414
27,5,13,2707,0.8655172413793103
6,5,9,1987,0.8310344827586207
8,6,7,1825,0.843103448275862
15,5,5,1457,0.853448275862069
27,4,15,1023,0.8413793103448276
13,6,3,2101,0.8517241379310345
12,5,14,2051,0.8293103448275863
20,4,12,1884,0.8379310344827586
19,5,6,2122,0.8620689655172413
22,5,18,1690,0.8689655172413793
24,6,16,1548,0.8551724137931035
13,6,14,2488,0.8482758620689655
22,4,9,2841,0.85
