forest_29_4_7_1902_89.0,0.8867403314917127,29
forest_15_5_6_1910_90.0,0.9005524861878453,44
forest_11_5_19_1675_90.0,0.8964088397790055,55
forest_12_5_10_1974_90.0,0.9019337016574586,67
forest_10_4_13_1536_90.0,0.9019337016574586,77
forest_12_5_6_1837_91.0,0.9088397790055248,89
forest_23_4_15_1051_90.0,0.9019337016574586,112
forest_23_7_13_1374_89.0,0.8895027624309392,135
forest_26_5_12_1642_89.0,0.8895027624309392,161
forest_28_5_4_1992_93.0,0.9281767955801105,189
forest_18_6_14_1913_91.0,0.9074585635359116,207
