forest_3_7_11_1066_92.0,0.9236883942766295,3
forest_5_7_18_1030_92.0,0.9205087440381559,8
forest_9_5_5_1280_91.0,0.9093799682034976,17
forest_15_7_8_2228_93.0,0.9268680445151033,32
forest_8_8_9_1886_95.0,0.9491255961844197,40
forest_15_6_4_1668_93.0,0.9348171701112877,55
forest_21_6_15_2273_94.0,0.9411764705882353,76
forest_29_8_17_2414_95.0,0.9507154213036566,105
forest_20_6_17_1040_96.0,0.9570747217806042,125
forest_23_9_7_2543_95.0,0.9538950715421304,148
forest_14_10_4_2768_95.0,0.9507154213036566,162
forest_9_6_13_1077_96.0,0.9602543720190779,171
forest_17_7_17_2665_95.0,0.9491255961844197,188
forest_10_6_11_1976_97.0,0.9650238473767886,198
forest_28_8_4_2049_95.0,0.9507154213036566,226
forest_22_5_13_1986_95.0,0.9507154213036566,248
forest_14_7_5_1803_97.0,0.9682034976152624,262
forest_21_4_6_2300_95.0,0.9507154213036566,283
forest_12_5_11_2275_96.0,0.9554848966613673,295
forest_14_10_6_2316_95.0,0.9538950715421304,309
forest_9_7_16_1376_95.0,0.9507154213036566,318
forest_15_8_4_1890_96.0,0.9618441971383148,333
forest_27_4_16_1249_95.0,0.9538950715421304,360
forest_26_5_12_2668_96.0,0.9634340222575517,386
forest_20_6_19_1598_97.0,0.9666136724960255,406
forest_10_9_5_1395_94.0,0.9395866454689984,416
forest_14_4_14_2548_96.0,0.9570747217806042,430
forest_4_7_18_1564_95.0,0.9491255961844197,434
forest_12_5_15_2525_95.0,0.9523052464228935,446
forest_23_5_11_2834_96.0,0.958664546899841,469
forest_9_7_3_1138_95.0,0.9459459459459459,478
forest_5_8_8_2621_95.0,0.9523052464228935,483
forest_10_4_11_1481_96.0,0.9570747217806042,493
forest_7_6_6_1961_95.0,0.9459459459459459,500
forest_15_5_18_2063_95.0,0.9491255961844197,515
forest_9_9_16_2272_96.0,0.9618441971383148,524
forest_27_5_13_1126_96.0,0.9570747217806042,551
forest_29_6_17_1530_96.0,0.9602543720190779,580
forest_14_9_14_2552_96.0,0.9554848966613673,594
forest_10_10_7_1493_96.0,0.9554848966613673,604
forest_22_5_19_1806_97.0,0.9666136724960255,626
forest_14_5_10_1366_97.0,0.9650238473767886,640
forest_7_4_3_1179_96.0,0.9570747217806042,647
forest_11_9_16_1066_97.0,0.972972972972973,658
forest_27_9_13_2306_96.0,0.9634340222575517,685
forest_28_5_16_2831_95.0,0.9491255961844197,713
forest_21_4_17_1850_97.0,0.9666136724960255,734
forest_12_10_17_2282_97.0,0.9650238473767886,746
forest_17_10_6_1517_96.0,0.9618441971383148,763
forest_14_8_17_1996_96.0,0.9618441971383148,777
forest_12_5_16_1213_96.0,0.9618441971383148,789
forest_29_9_15_1686_97.0,0.9650238473767886,818
forest_28_5_7_1015_97.0,0.9666136724960255,846
forest_17_10_14_2449_95.0,0.9523052464228935,863
forest_19_7_14_2399_96.0,0.9554848966613673,882
forest_3_10_19_1624_96.0,0.9618441971383148,885
forest_10_9_19_1213_96.0,0.9570747217806042,895
forest_14_4_7_2866_96.0,0.9634340222575517,909
forest_21_5_14_2068_96.0,0.9602543720190779,930
forest_4_6_14_1629_97.0,0.9697933227344993,934
forest_13_10_8_2053_96.0,0.9634340222575517,947
forest_3_10_16_1510_96.0,0.9618441971383148,950
forest_8_7_16_1623_96.0,0.9618441971383148,958
forest_29_9_5_2122_96.0,0.9570747217806042,987
forest_17_10_17_1227_97.0,0.9666136724960255,1004
forest_10_7_19_2371_97.0,0.9666136724960255,1014
forest_22_10_3_2472_96.0,0.958664546899841,1036
forest_17_5_18_2775_96.0,0.9634340222575517,1053
forest_12_10_6_2558_96.0,0.9570747217806042,1065
forest_17_10_10_2352_96.0,0.9602543720190779,1082
forest_5_6_14_2320_97.0,0.9697933227344993,1087
forest_17_5_11_2705_96.0,0.9570747217806042,1104
forest_10_8_7_2277_96.0,0.9618441971383148,1114
forest_11_9_15_1794_97.0,0.9682034976152624,1125
forest_28_4_18_2490_97.0,0.9650238473767886,1153
forest_13_10_13_2605_96.0,0.9570747217806042,1166
forest_24_5_12_1714_96.0,0.9602543720190779,1190
forest_22_7_16_2406_96.0,0.958664546899841,1212
forest_28_7_10_1514_96.0,0.9618441971383148,1240
forest_13_6_3_1465_97.0,0.9697933227344993,1253
forest_6_7_6_1935_96.0,0.9602543720190779,1259
forest_27_4_15_2672_98.0,0.9809220985691574,1286
forest_22_10_17_2660_96.0,0.9618441971383148,1308
forest_14_9_12_1727_97.0,0.9682034976152624,1322
forest_27_6_3_2797_97.0,0.9650238473767886,1349
forest_6_7_16_2193_96.0,0.9634340222575517,1355
forest_8_4_13_1332_97.0,0.9650238473767886,1363
forest_18_5_12_1760_96.0,0.9554848966613673,1381
forest_11_10_4_2209_97.0,0.9650238473767886,1392
forest_25_7_7_2026_95.0,0.9523052464228935,1417
forest_9_10_8_2780_97.0,0.972972972972973,1426
forest_24_7_18_2746_97.0,0.9650238473767886,1450
forest_10_8_18_1559_96.0,0.9602543720190779,1460
forest_17_9_6_2494_96.0,0.9602543720190779,1477
forest_6_8_3_1179_96.0,0.9618441971383148,1483
forest_7_6_7_2323_97.0,0.972972972972973,1490
forest_22_9_15_2304_97.0,0.9697933227344993,1512
forest_3_5_18_2561_96.0,0.9602543720190779,1515
forest_25_4_7_1916_97.0,0.9682034976152624,1540
