3,6,13,2035,0.845691382765531
24,4,10,1116,0.8617234468937875
16,6,5,1207,0.8637274549098196
10,8,5,1463,0.8356713426853707
7,8,4,1474,0.8917835671342685
19,4,17,1680,0.8476953907815631
20,6,5,1527,0.8416833667334669
26,4,4,1012,0.8917835671342685
28,4,11,1639,0.87374749498998
17,8,3,2822,0.8396793587174348
16,6,10,1573,0.8937875751503006
8,4,10,1811,0.8897795591182365
20,6,11,1936,0.8697394789579158
8,8,9,2719,0.8877755511022044
29,6,10,1320,0.8557114228456913
21,6,13,2098,0.8677354709418837
10,5,12,2467,0.8877755511022044
26,4,5,1723,0.9038076152304609
16,8,11,1440,0.9118236472945892
12,4,10,1659,0.8917835671342685
23,8,13,2507,0.8817635270541082
26,7,13,1008,0.9178356713426854
17,6,5,1728,0.8877755511022044
16,8,17,1196,0.8577154308617234
20,6,5,1241,0.8817635270541082
13,8,17,2760,0.8917835671342685
14,7,9,1838,0.8877755511022044
29,6,11,2388,0.8817635270541082
16,4,5,1084,0.8797595190380761
18,8,7,2104,0.8897795591182365
8,8,9,2769,0.9098196392785571
15,7,15,1491,0.8977955911823647
13,8,3,1074,0.8577154308617234
9,6,18,1785,0.8697394789579158
23,8,15,2694,0.8937875751503006
18,7,6,1282,0.8236472945891784
14,4,18,2879,0.8016032064128257
24,4,15,1218,0.8657314629258517
12,5,16,2877,0.8316633266533067
22,6,19,1662,0.8577154308617234
3,8,9,1977,0.8777555110220441
3,8,14,1267,0.9178356713426854
24,5,14,1259,0.8797595190380761
4,8,8,2512,0.8997995991983968
4,8,7,1577,0.9038076152304609
28,8,7,2191,0.8897795591182365
12,7,8,1452,0.8917835671342685
10,6,17,2701,0.9038076152304609
28,6,7,1010,0.8897795591182365
27,6,11,1847,0.8557114228456913
23,5,10,1972,0.9078156312625251
19,6,13,1698,0.905811623246493
21,7,8,1564,0.8597194388777555
25,4,13,1978,0.8897795591182365
19,6,6,2642,0.8717434869739479
18,6,19,1615,0.8917835671342685
26,8,16,1956,0.905811623246493
26,5,4,1636,0.9078156312625251
7,4,14,2627,0.8797595190380761
11,6,3,2514,0.9078156312625251
11,8,19,1237,0.9018036072144289
28,7,17,2325,0.8897795591182365
18,4,14,1046,0.8937875751503006
16,8,16,2163,0.8897795591182365
28,5,9,2173,0.9078156312625251
15,7,7,1741,0.8817635270541082
6,7,6,2840,0.9078156312625251
16,4,7,1437,0.8857715430861723
7,6,13,1829,0.8937875751503006
26,8,13,1272,0.9018036072144289
